year,gdi,comp,wages,supp,topi,subsidies,interest,bctp,prop,rental,cprof,ctax,cprof_at,cfc,topi_net,ucap,ni,lab_net,cap_net,prop_net,capmax_net,labmax_net,lab_gross
1929,103822,51407,50459,948,6824,46,4038,511,14015,6065,10601,1365,9236,10409,6778,19850,85272,60.28590862182193,23.278450136035275,16.43564124214279,39.71409137817807,76.72154986396473,49.51455375546609
1930,92606,47166,46213,953,6971,73,4256,467,10872,5371,7361,842,6519,10217,6898,16613,74651,63.182006938955944,22.25422298428688,14.563770076757176,36.817993061044056,77.74577701571312,50.931905060147294
1931,76653,40070,39156,914,6669,145,4298,538,8315,4440,2955,498,2457,9514,6524,11733,60118,66.65225057387138,19.516617319272097,13.831132106856515,33.347749426128615,80.4833826807279,52.274535895529205
1932,59248,31338,30513,825,6570,117,4086,579,5012,3599,-156,383,-539,8338,6453,7725,44075,71.10153148043108,17.526942711287578,11.371525808281339,28.898468519568915,82.47305728871243,52.89292465568458
1933,56636,29786,29026,760,6864,166,3673,515,5268,2858,-173,521,-694,8012,6698,6352,41406,71.93643433318843,15.340771868811283,12.72279379800029,28.063565666811574,84.65922813118871,52.59199095981354
1934,66428,34552,33733,819,7625,467,3807,502,7007,2516,2457,744,1713,8430,7158,8538,50097,68.9701978162365,17.042936702796574,13.986865480966925,31.0298021837635,82.95706329720342,52.01421087493226
1935,74471,37666,36721,945,7990,598,3880,506,10124,2564,3859,951,2908,8480,7392,9858,57648,65.33791285040245,17.100333055786844,17.561754093810713,34.66208714959756,82.89966694421315,50.578077372399996
1936,83648,43288,41953,1335,8461,289,3651,533,10393,2684,6126,1409,4717,8801,8172,11585,65266,66.32549872828119,17.750436674531915,15.924064597186897,33.67450127171881,82.24956332546809,51.75019127773527
1937,93048,48309,46138,2171,8941,347,3589,524,12521,2966,6780,1502,5278,9767,8594,12357,73187,66.00762430486289,16.884146091518986,17.108229603618128,33.99237569513711,83.11585390848101,51.91836471498581
1938,86671,45411,43012,2399,8932,479,3571,410,10598,3480,4707,1029,3678,10042,8453,11139,67148,67.62822422112349,16.588729373920295,15.783046404956217,32.37177577887651,83.4112706260797,52.394687957909795
1939,92148,48551,45983,2568,9146,796,3602,435,11120,3716,6268,1441,4827,10103,8350,12580,72251,67.19768584517861,17.411523715934727,15.39079043888666,32.80231415482139,82.58847628406527,52.68806702261579
1940,101834,52746,49857,2889,9795,748,3327,451,12234,3847,9606,2834,6772,10577,9047,14397,79377,66.44997921312219,18.13749574813863,15.412525038739181,33.55002078687781,81.86250425186137,51.79606025492468
1941,128991,66181,62079,4102,11054,456,3256,527,16650,4415,15302,7610,7692,12062,10598,15890,98721,67.03842140983174,16.095866127774233,16.86571246239402,32.96157859016825,83.90413387222577,51.30668031102945
1942,166859,88026,82088,5938,11512,520,3181,545,23341,5454,20411,11415,8996,14911,10992,18176,129543,67.95118223292651,14.030862339146076,18.017955427927408,32.04881776707348,85.96913766085393,52.7547210519061
1943,204909,112714,105802,6912,12431,583,2898,642,28225,6024,24528,14074,10454,18031,11848,20018,160957,70.0273986219922,12.436862019048565,17.535739358959226,29.97260137800779,87.56313798095144,55.00685670224343
1944,221915,124372,116800,7572,13711,1041,2486,812,29346,6337,24549,12949,11600,21341,12670,21235,174953,71.08880670808732,12.137545512223284,16.7736477796894,28.911193291912685,87.86245448777672,56.04488204943334
1945,224176,126368,117557,8811,15095,1144,2347,891,30824,6578,20110,10689,9421,23107,13951,19237,176429,71.62541305567679,10.903536266713521,17.47105067760969,28.374586944323212,89.09646373328648,56.36999500392549
1946,226303,122525,112045,10480,16832,1359,1800,692,35671,6899,17552,9104,8448,25690,15473,17839,176035,69.60263583946374,10.133780214161957,20.2635839463743,30.397364160536256,89.86621978583804,54.14201314167289
1947,246753,132292,123028,9264,18106,398,2272,715,34579,6889,23178,11193,11985,29121,17708,21861,188732,70.09516139287456,11.583091367653605,18.321747239471843,29.90483860712545,88.41690863234639,53.613127297337826
1948,274719,144227,135464,8763,19726,540,2378,707,39279,7484,30132,12254,17878,31326,19186,28447,211953,68.04668959627843,13.421371719201899,18.53193868451968,31.95331040372158,86.5786282807981,52.49982709605087
1949,270731,144276,134675,9601,20904,498,2657,688,34690,7798,27933,10010,17923,32284,20406,29066,208032,69.3527918781726,13.971888940163051,16.67531918166436,30.64720812182741,86.02811105983695,53.291274364590684
1950,298565,158191,147175,11016,22950,843,2968,824,37514,8779,34790,17728,17062,33394,22107,29633,225338,70.20165262849586,13.150467298014538,16.647880073489603,29.79834737150414,86.84953270198547,52.98377237787417
1951,343468,185691,171593,14098,24745,1048,3429,1159,42594,9720,39454,22304,17150,37726,23697,31458,259743,71.49028077753779,12.111202226816507,16.398516995645696,28.509719222462202,87.8887977731835,54.06355177192635
1952,364737,201086,185634,15452,27121,774,3868,1199,43040,10816,37777,19107,18670,40606,26347,34553,278679,72.15685430190291,12.398853160805084,15.444292537292009,27.843145698097093,87.60114683919491,55.131779885232376
1953,385426,215252,198996,16256,29101,514,4403,1153,42017,12028,38496,19944,18552,43488,28587,36136,293405,73.36343961418517,12.316081866362195,14.320478519452633,26.63656038581483,87.6839181336378,55.84781514480082
1954,387641,214196,197320,16876,28889,327,5172,916,42255,13061,37498,17348,20150,45981,28562,39299,295750,72.42468300929839,13.287912087912089,14.287404902789518,27.575316990701605,86.71208791208791,55.25628094035461
1955,423348,230641,212221,18420,31467,201,5745,1298,44272,13423,47814,21789,26025,48893,31266,46491,321404,71.76046346654056,14.464972433448246,13.774564100011201,28.239536533459447,85.53502756655175,54.48023847992668
1956,451386,249357,229108,20249,34237,742,6445,1651,45819,13668,46825,21591,25234,54127,33495,46998,342174,72.87432709674026,13.735117221062968,13.390555682196776,27.125672903259744,86.26488277893704,55.24251970597227
1957,474395,262654,240029,22625,36616,1132,7630,1823,47785,14054,46048,20880,25168,58919,35484,48675,359114,73.13944875443453,13.554191705140985,13.30635954042449,26.860551245565475,86.44580829485902,55.36609787202648
1958,480584,264742,241389,23353,37720,1368,9043,1704,50158,14798,41334,18440,22894,62454,36352,48439,363339,72.86363423689723,13.33162693792849,13.804738825174287,27.136365763102777,86.66837306207151,55.08756013516888
1959,521454,285910,259923,25987,41052,1058,9205,1656,50346,15559,52796,22816,29980,65445,39994,56400,392656,72.81437186748707,14.36371785990791,12.82191027260503,27.18562813251294,85.63628214009209,54.829380923341276
1960,543690,301438,273010,28428,44547,1146,10146,1744,50587,16463,51543,21885,29658,67901,43401,58011,410036,73.51500843828347,14.147782145957915,12.337209415758617,26.484991561716534,85.85221785404208,55.44299141054645
1961,563124,310566,280663,29903,46968,2014,11734,1899,53199,17200,52629,22203,30426,70604,44954,61259,425024,73.0702266224966,14.41306843848818,12.51670493901521,26.929773377503388,85.58693156151182,55.150552986553585
1962,603951,332297,299453,32844,50382,2273,13380,2119,55234,18046,60271,23296,36975,74100,48109,70520,458051,72.5458518811224,15.395665548159485,12.058482570718107,27.454148118877594,84.60433445184051,55.020523188139435
1963,638918,350471,314914,35557,53386,2234,14382,2527,56398,18728,66427,25491,40936,78018,51152,76573,483442,72.49494251637218,15.839128582125674,11.665928901502145,27.50505748362782,84.16087141787433,54.85383100804798
1964,684510,376029,337842,38187,57269,2729,16480,3005,59132,18831,73239,26573,46666,82390,54540,84982,520143,72.29338854891827,16.338199302884014,11.368412148197708,27.70661145108172,83.66180069711598,54.93404040846737
1965,741547,405410,363752,41658,60709,3007,18574,3485,63662,19336,84583,29768,54815,88008,57702,96210,565282,71.7181866749693,17.019823733994713,11.261989591035979,28.281813325030694,82.98017626600529,54.670843520370255
1966,808333,449225,400297,48928,63211,3949,21320,3390,67933,19910,91594,32232,59362,95311,59262,103982,621140,72.32266477766687,16.740509385967737,10.936825836365392,27.67733522233313,83.25949061403226,55.57424972134009
1967,856600,481760,428979,52781,67937,3811,24340,3628,69475,20345,89091,30992,58099,103557,64126,106412,657647,73.25510494231708,16.180717010797586,10.564178046885335,26.74489505768292,83.81928298920242,56.240952603315435
1968,937518,530739,471960,58779,76407,4174,26515,4182,73832,20096,96111,37164,58947,113357,72233,109740,714311,74.30082975062683,15.363056147812367,10.336114101560804,25.69917024937317,84.63694385218763,56.61107306739711
1969,1016032,584436,518311,66125,83856,4534,33241,4799,77005,20348,91821,36958,54863,124896,79322,113251,774692,75.44107851894688,14.618842068848007,9.940079412205108,24.558921481053115,85.38115793115199,57.52141664829454
1970,1067965,623324,551537,71787,91413,4777,40236,4356,77803,20664,79144,31263,47881,136839,86636,113137,814264,76.55060275291552,13.894388060874606,9.555009186209878,23.449397247084484,86.1056119391254,58.365583141769626
1971,1155333,664974,584528,80446,100493,4675,44449,4158,83904,21828,92792,34808,57984,148926,95818,128419,877297,75.79804786748387,14.63803022237623,9.563921910139896,24.201952132516126,85.36196977762377,57.55691216298678
1972,1271943,731334,638786,92548,107928,6636,48975,4779,95094,22719,107678,39110,68568,161011,101292,145041,971469,75.28124932447665,14.930069822094168,9.788680853429188,24.718750675523356,85.06993017790583,57.49738785464443
1973,1419232,812696,708775,103921,117220,5230,57951,5741,112521,23117,118492,45632,72860,178686,111990,159669,1084886,74.91072794745254,14.717583229943054,10.371688822604403,25.089272052547457,85.28241677005694,57.26308313228563
1974,1537793,887737,772304,115433,124902,3307,73598,6787,112213,23181,108236,47235,61001,206894,121595,164567,1164517,76.23220614211729,14.131781674290714,9.636012183591996,23.76779385788271,85.86821832570928,57.72799069835797
1975,1671561,947273,814881,132392,135292,4494,85253,9036,118238,22292,124228,46264,77964,238510,130798,194545,1260056,75.1770556229247,15.439393169827373,9.383551207247931,24.822944377075306,84.56060683017263,56.66996298669328
1976,1852757,1048384,899782,148602,146388,5125,87058,9136,130974,20308,157790,59418,98372,260226,141263,214874,1394232,75.19437224220933,15.411638809036086,9.393988948754583,24.80562775779067,84.58836119096391,56.58507834540633
1977,2062378,1165887,994220,171667,159664,7100,101945,8081,144492,15867,186670,68504,118166,289832,152564,244059,1554438,75.00376341803276,15.700787036858337,9.295449545108907,24.996236581967246,84.29921296314166,56.53119845149628
1978,2328274,1316864,1120669,196195,170898,8936,116037,10375,165974,16545,215700,77852,137848,327196,161962,280805,1763643,74.6672654273002,15.921873077487904,9.410861495211899,25.332734572699803,84.0781269225121,56.559666087410676
1979,2582331,1477302,1253385,223917,180101,8531,139387,12753,179438,16093,214605,80737,133868,373882,171570,302101,1958841,75.41714718039903,15.42243602211716,9.160416797483819,24.58285281960098,84.57756397788285,57.208080606242966
1980,2813037,1622345,1373520,248826,200330,9800,184013,13998,171569,18978,187655,75484,112171,428432,190530,329160,2123074,76.41490593356615,15.503934389474884,8.081159676958976,23.58509406643386,84.49606561052512,57.67236620065786
1981,3169341,1792681,1511529,281152,235644,11473,233387,16914,179680,23780,216215,70315,145900,487231,224171,419981,2392342,74.93414403124636,17.55522412765399,7.510631841099642,25.06585596875363,82.44477587234601,56.56320982816302
1982,3335141,1893175,1587709,305465,240933,15017,272993,19318,171191,23833,195169,51294,143875,536963,225916,460019,2524385,74.99549395199227,18.22301273379457,6.781493314213165,25.004506048007734,81.77698726620544,56.764466629746686
1983,3577187,2012662,1677686,334976,263281,21304,286596,21681,186250,24435,242847,66419,176428,562624,241977,509140,2708052,74.32139412389422,18.800968371360668,6.877637504745108,25.678605876105777,81.19903162863933,56.26381846965227
1984,3996190,2216083,1845126,370957,289773,21065,331112,29159,228247,24652,300699,81477,219222,598394,268708,604145,3048475,72.69480641960324,19.817941757764128,7.4872518226326275,27.305193580396757,80.18205824223587,55.4548957882383
1985,4284907,2387539,1982765,404774,308133,21360,352289,34060,241051,26204,314980,81610,233370,640137,286773,645923,3274513,72.91279649828844,19.725772962269502,7.361430539442049,27.087203501711553,80.2742270377305,55.7197390748504
1986,4499783,2543845,2104117,439729,323373,24895,374824,35961,256479,18268,284091,91871,192220,685295,298478,621273,3421597,74.3467158756569,18.157398431200402,7.495885693142705,25.653284124343106,81.8426015687996,56.532615017213054
1987,4811610,2723761,2257623,466139,347545,30282,378296,33292,286468,16594,322803,112702,210101,730385,317263,638283,3648512,74.65402333882963,17.494337417555432,7.851639243614931,25.34597666117036,82.50566258244457,56.608099991478944
1988,5233615,2948854,2440649,508205,374464,29501,409716,32755,325524,22492,359258,124266,234992,784496,344963,699955,3974333,74.19745652918364,17.61188606993928,8.190657400877077,25.80254347081636,82.38811393006071,56.344496108330475
1989,5573751,3140886,2584336,556550,398867,27428,463404,38266,341130,21524,351587,124422,227165,838258,371439,750359,4232375,74.21095720487905,17.729029209368264,8.06001358575268,25.789042795120942,82.27097079063174,56.35138706411535
1990,5867789,3342680,2743506,599175,424990,26994,471110,39178,353154,28168,343243,121816,221427,888532,397996,759883,4455717,75.02002483550908,17.05411272753633,7.925862436954591,24.979975164490924,82.94588727246366,56.96660190064776
1991,6065418,3453267,2817229,636038,457091,27488,438039,38890,354162,38577,372271,117813,254458,932393,429603,769964,4577393,75.44178531316844,16.821015805284798,7.7371988815467665,24.558214686831565,83.1789841947152,56.933701848743155
1992,6404817,3671211,2968506,702705,483375,30088,400982,39720,400155,60573,408200,131914,276286,960247,453287,777561,4848927,75.71182242999328,16.035733266349443,8.252444303657283,24.288177570006724,83.96426673365056,57.31952997251912
