id,name,group,sector,basis,unit,source,n,start_date,latest_date,latest_value,record_date,record_value,rank_low,record_high_date,record_high_value,rank_high,pctile_from_bottom,second_lowest_value,second_lowest_date,second_highest_value,second_highest_date,pre_pandemic_avg,full_avg,is_record_low,is_record_high,lowest_label,highest_label,context,context_high
l_bls_nfb,BLS official measure (nonfarm business),Labor share,Nonfarm business (BLS),Net,"Index, 2017=100",BLS PRS85006173,318,1947-03-01,2026-06-01,93.446,2026-06-01,93.446,1,1960-12-01,117.123,318,0.3144654088050315,94.843,2026-03-01,117.123,1960-12-01,99.94883333333334,108.1451037735849,TRUE,FALSE,Yes  -  record low,No,"Record low of the quarterly series (1947Q1-2026Q2). Previous low was 94.8 in 2026Q1, so this is 1.4 below that.","Not near the high end of its own history (0th percentile from the bottom); 23.7 below the record high set in 1960Q4, below the 2017-19 average."
l_corp_gross,"Corporate business (all corporations), gross",Labor share,Corporate (all),Gross,% of income base,BEA NIPA Table 1.14,318,1947-03-01,2026-06-01,53.40619712693423,2026-06-01,53.40619712693423,1,1953-12-01,65.8190183897967,318,0.3144654088050315,54.38849723551746,2026-03-01,65.8190183897967,1953-12-01,57.63229745425068,61.57429317238148,TRUE,FALSE,Yes  -  record low,No,"Record low of the quarterly series (1947Q1-2026Q2). Previous low was 54.4 in 2026Q1, so this is 1.0 below that.","Not near the high end of its own history (0th percentile from the bottom); 12.4 below the record high set in 1953Q4, below the 2017-19 average."
l_corp_net_extax,"Corporate business (all corporations), net of production taxes",Labor share,Corporate (all),Net,% of income base,BEA NIPA Table 1.14,318,1947-03-01,2026-06-01,69.61165260789389,2026-06-01,69.61165260789389,1,2001-12-01,83.67039871991008,318,0.3144654088050315,71.02920592068362,2021-06-01,83.67039871991008,2001-12-01,75.15197122855166,77.4742619175885,TRUE,FALSE,Yes  -  record low,No,"Record low of the quarterly series (1947Q1-2026Q2). Previous low was 71.0 in 2021Q2, so this is 1.4 below that.","Not near the high end of its own history (0th percentile from the bottom); 14.1 below the record high set in 2001Q4, below the 2017-19 average."
l_corp_net_std,"Corporate business (all corporations), net",Labor share,Corporate (all),Net,% of income base,BEA NIPA Table 1.14,318,1947-03-01,2026-06-01,63.12246321478097,2026-06-01,63.12246321478097,1,2001-12-01,75.92335692383385,318,0.3144654088050315,64.33727977667336,2026-03-01,75.92335692383385,2001-12-01,68.04257556235797,70.13060788533811,TRUE,FALSE,Yes  -  record low,No,"Record low of the quarterly series (1947Q1-2026Q2). Previous low was 64.3 in 2026Q1, so this is 1.2 below that.","Not near the high end of its own history (0th percentile from the bottom); 12.8 below the record high set in 2001Q4, below the 2017-19 average."
l_gross_econ,"Economy-wide, gross",Labor share,Economy-wide,Gross,% of income base,BEA NIPA Table 1.10,318,1947-03-01,2026-06-01,50.38219710739683,2026-06-01,50.38219710739683,1,1970-03-01,58.72903540665652,318,0.3144654088050315,51.003274126596054,2026-03-01,58.72903540665652,1970-03-01,53.32949560869961,55.10930453035022,TRUE,FALSE,Yes  -  record low,No,"Record low of the quarterly series (1947Q1-2026Q2). Previous low was 51.0 in 2026Q1, so this is 0.6 below that.","Not near the high end of its own history (0th percentile from the bottom); 8.3 below the record high set in 1970Q1, below the 2017-19 average."
l_net_econ_std,"Economy-wide, net of depreciation",Labor share,Economy-wide,Net,% of income base,BEA NIPA Table 1.10,318,1947-03-01,2026-06-01,60.470846541400306,1948-06-01,58.533689522113384,12,1980-06-01,68.91263824385385,307,3.7735849056603774,58.533689522113384,1948-06-01,68.91263824385385,1980-06-01,63.58464478042249,64.2699049493533,FALSE,FALSE,No,No,In the bottom decile of its own history (4th percentile from the bottom); 1.9 above the record low set in 1948Q2.,"Not near the high end of its own history (4th percentile from the bottom); 8.4 below the record high set in 1980Q2, below the 2017-19 average."
l_net_labmax,"Economy-wide, net, all proprietors' income to labor",Labor share,Economy-wide,Net,% of income base,BEA NIPA Table 1.10,318,1947-03-01,2026-06-01,77.39324415223146,2026-06-01,77.39324415223146,1,1947-03-01,90.04777591134187,318,0.3144654088050315,78.18680681653314,2026-03-01,90.04777591134187,1947-03-01,80.04326298724624,83.04448432821654,TRUE,FALSE,Yes  -  record low,No,"Record low of the quarterly series (1947Q1-2026Q2). Previous low was 78.2 in 2026Q1, so this is 0.8 below that.","Not near the high end of its own history (0th percentile from the bottom); 12.7 below the record high set in 1947Q1, below the 2017-19 average."
l_net_prop75,"Economy-wide, net, 75% of proprietors' income to labor",Labor share,Economy-wide,Net,% of income base,BEA NIPA Table 1.10,318,1947-03-01,2026-06-01,75.12383663202712,2026-06-01,75.12383663202712,1,1947-03-01,85.11365867492746,318,0.3144654088050315,75.70381466768225,2021-06-01,85.11365867492746,1947-03-01,77.64234413722689,80.4463818917801,TRUE,FALSE,Yes  -  record low,No,"Record low of the quarterly series (1947Q1-2026Q2). Previous low was 75.7 in 2021Q2, so this is 0.6 below that.","Not near the high end of its own history (0th percentile from the bottom); 10.0 below the record high set in 1947Q1, below the 2017-19 average."
l_net_tf,"Economy-wide, net, proprietors' income excluded",Labor share,Economy-wide,Net,% of income base,BEA NIPA Table 1.10,318,1947-03-01,2026-06-01,68.31561407141407,1948-06-01,67.43609472514319,5,1980-06-01,77.1586819124813,314,1.5723270440251573,67.43609472514319,1948-06-01,77.1586819124813,1980-06-01,70.43958758716884,72.65207458247077,FALSE,FALSE,No,No,5th-lowest of 318 quarters since 1947Q1; 0.9 above the record low set in 1948Q2.,"Not near the high end of its own history (2th percentile from the bottom); 8.8 below the record high set in 1980Q2, below the 2017-19 average."
l_nfcorp_gross,"Nonfinancial corporate business, gross",Labor share,Nonfinancial corporate,Gross,% of income base,BEA NIPA Table 1.14,318,1947-03-01,2026-06-01,54.704331624146704,2026-06-01,54.704331624146704,1,1953-12-01,66.28313897340574,318,0.3144654088050315,55.720959738804936,2026-03-01,66.28313897340574,1953-12-01,58.61912610809635,61.955645039524285,TRUE,FALSE,Yes  -  record low,No,"Record low of the quarterly series (1947Q1-2026Q2). Previous low was 55.7 in 2026Q1, so this is 1.0 below that.","Not near the high end of its own history (0th percentile from the bottom); 11.6 below the record high set in 1953Q4, below the 2017-19 average."
