year,nq,ni,comp,ni_corp,lab_corp,ni_govnp,lab_govnp,ni_oth,lab_oth,L,w_corp,l_corp,w_gov,l_gov,w_oth,l_oth
1947,4,188728.25,132289.5,94988.75,82136,24887.5,24887.5,68852,25266,70.09522951651383,0.5033096529004004,86.46918714058243,0.1318695001940621,100,0.36482084690553745,36.6961017835357
1948,4,211954.25,144226.75,109572.75,91111,25765.5,25765.5,76616,27350.25,68.0461703410052,0.5169641561799303,83.15114843790997,0.121561610583416,100,0.3614742332366537,35.69783074031534
1949,4,208033.25,144275.75,107229.25,88798,28250.25,28250.25,72553.75,27227.5,69.35225498808484,0.5154428438723136,82.81135977356925,0.13579680171318767,100,0.34876035441449865,37.527350412625125
1950,4,225338,158190.25,116277.25,98654,30391,30391,78669.75,29145.25,70.20131979515217,0.5160126121648368,84.84376780496615,0.1348685086403536,100,0.34911887919480955,37.0475945328414
1951,4,259743.5,185690,132497,114553,38609.25,38609.25,88637.25,32527.75,71.48975816526689,0.510107086414097,86.45705185777791,0.14864375816911685,100,0.3412491554167862,36.69760738290053
1952,4,278673,201086,142472.75,123015,43301.5,43301.5,92898.75,34769.5,72.15840788307443,0.5112542298679815,86.34282696164705,0.15538462642595444,100,0.3333611437060641,37.42730661069175
1953,4,293407.75,215253,153471.5,133985,44820.5,44820.5,95115.75,36447.5,73.36309282900673,0.5230655972788721,87.30285427587532,0.15275840532501272,100,0.32417599739611513,38.319100674704245
1954,4,295748.75,214196,153240,132212,45682.75,45682.75,96826,36301.25,72.42498911660658,0.5181425111686863,86.27773427303576,0.1544647272389148,100,0.32739276159239894,37.49122136616198
1955,4,321399.5,230639.75,171884.25,144625,48357.75,48357.75,101157.5,37657,71.76107927983709,0.5347993696318756,84.14092623378815,0.1504599415991624,100,0.314740688768962,37.22610780218965
1956,4,342173.75,249357.5,184855.75,158175,51451.5,51451.5,105866.5,39731,72.87452646499037,0.5402394251458507,85.56671891461315,0.15036659007302577,100,0.3093939847811236,37.52934119858501
1957,4,359112.25,262654,193409,166500,54933,54933,110770.25,41221,73.13980517233817,0.5385753340355279,86.08699698566251,0.15296888368469747,100,0.30845578227977466,37.21306036593761
1958,4,363335.25,264743,188857.5,163977,59093.25,59093.25,115384.5,41672.75,72.86466149375818,0.519788542399891,86.82578134307613,0.16264111450788218,100,0.3175703430922268,36.11641944975278
