year,nq,gdi,comp,wages,supp,topi_net,prop,rental,ucap,cprof,cprof_at,ctax,cfc,interest,bctp,gov_ent,ni,nos_priv,lab_net,cap_net,prop_net,capmax_net,labmax_net,lab_gross,cap_gross,cfc_gross
1947,4,246750.5,132289.5,123025.75,9263.5,17707.5,34578.75,6888.75,21860,23178.25,11985.25,11193,29120.75,2271,715,NA,188728.25,67632.5,70.09522951651383,11.582791659436253,18.321978824049925,29.90477048348618,88.41720834056375,53.61265731984332,8.85915124792047,11.801698476801466
1948,4,274722,144226.75,135464.25,8762.5,19186,39279,7484.25,28448.5,30131.75,17877.75,12254,31327.5,2379.25,707.25,NA,211954.25,79981.75,68.0461703410052,13.42200026656696,18.53182939242785,31.953829658994806,86.57799973343305,52.499162790020456,10.355377436099038,11.40334592788346
1949,4,270734,144275.75,134675,9600.75,20405.5,34690,7798.25,29067.5,27932.75,17922.75,10010,32285.5,2658.25,688.25,NA,208033.25,73767.5,69.35225498808484,13.972526026488554,16.675218985426607,30.647745011915163,86.02747397351145,53.29059150309898,10.736553221981724,11.92517378681658
1950,4,298564.75,158190.25,147174.75,11015,22106.5,37514.5,8779,29633.25,34789.5,17061.5,17728,33392.25,2969,823.75,NA,225338,84875.75,70.20131979515217,13.150578242462434,16.648101962385393,29.79868020484783,86.84942175753757,52.98356554147802,9.925233973535054,11.184257351211086
1951,4,343469.25,185690,171592.25,14097.25,23696.75,42594.75,9719.5,31458.75,39453.75,17149.75,22304,37725.25,3430,1159.5,NA,259743.5,96357.5,71.48975816526689,12.11146765944095,16.398774175292164,28.51024183473311,87.88853234055905,54.0630638696186,9.15911686417343,10.983588778325862
1952,4,364731.75,201086,185634,15452,26346.75,43039,10815.75,34548,37776.75,18669.75,19107,40604.5,3865,1197.5,NA,278673,96694,72.15840788307443,12.397325898095618,15.444266218829954,27.841592116925572,87.60267410190438,55.13257345980985,9.472166873325396,11.132702321637751
1953,4,385427.5,215253,198996.25,16256.75,28587,42017.5,12028.5,36137.25,38496,18552,19944,43490,4403.75,1153,NA,293407.75,98097.75,73.36309282900673,12.316392460662678,14.32051471033059,26.63690717099327,87.68360753933732,55.847857249417856,9.375887812883096,11.28357473195348
1954,4,387638.75,214196,197320,16876,28561.5,42255,13060.75,39297.75,37497.75,20149.75,17348,45980.5,5171.5,915.75,NA,295748.75,98901.25,72.42498911660658,13.287545594021953,14.287465289371468,27.57501088339342,86.71245440597805,55.256601668434854,10.137724879156172,11.861688234212911
1955,4,423344.25,230639.75,212221,18418.75,31266.25,44272.5,13421.75,46487.25,47813.5,26024.5,21789,48889.25,5743.75,1297.25,NA,321399.5,112548.5,71.76107927983709,14.46400818918511,13.774912530977801,28.238920720162913,85.53599181081489,54.48042580004334,10.980956987132812,11.548343930501005
1956,4,451384.25,249357.5,229107.75,20249.75,33495,45818.75,13667.75,46997.5,46825.25,25234.25,21591,54125,6445,1650.5,NA,342173.75,114407,72.87452646499037,13.734981131661911,13.390492403347714,27.125473535009625,86.26501886833809,55.24284464954194,10.411860848046869,11.990892460248668
1957,4,474394,262654,240029,22625,35484,47786.25,14053,48672,46047.75,25167.75,20880,58917.25,7628.5,1822.75,NA,359112.25,117338.5,73.13980517233817,13.55342236306336,13.306772464598465,26.860194827661825,86.44657763693664,55.366214581128766,10.259826220399077,12.419476215972377
1958,4,480580.25,264743,241389.25,23353.75,36350.5,50157.25,14796.75,48435,41333.5,22893.5,18440,62455,9041,1703.75,NA,363335.25,117032,72.86466149375818,13.330663622646027,13.804674883595798,27.135338506241826,86.66933637735397,55.08819806889692,10.078441633837429,12.995748368768796
1959,4,521452.25,285910.25,259923,25987.25,39994,50345.5,15556.75,56398.25,52796.25,29980.25,22816,65443,9204.25,1657,544.75,392654,129560,72.81480641990149,14.363345337116138,12.821848242982371,27.18519358009851,85.63665466288386,54.82961287442906,10.81561159243248,12.550142414765686
1960,4,543687.5,301437,273009.75,28427.25,43401,50588.5,16462.75,58008.25,51542.5,29657.5,21885,67900.5,10145,1743,466.75,410033.75,130481.75,73.5151679587351,14.147189103336006,12.33764293792889,26.484832041264895,85.852810896664,55.44306242096793,10.669410277043339,12.488883779744798
1961,4,563124.5,310565,280663.25,29901.75,44954,53198,17200,61262,52629.5,30426.5,22203,70604.5,11734,1901.5,338.25,425025,136662.75,73.06981942238691,14.413740368213634,12.516440209399446,26.930180577613083,85.58625963178636,55.15032643758174,10.878944176642998,12.537991154709127
1962,4,603951.75,332297,299453,32844,48109,55234.5,18045.5,70519.5,60271.25,36975.25,23296,74097,13381.75,2117,398,458051,149050.5,72.5458518811224,15.395556390008974,12.058591728868619,27.454148118877594,84.60444360999102,55.02045486249522,11.676346661798728,12.268695305543861
1963,4,638913,350471,314913.75,35557.25,51152,56398,18726.75,76569.25,66427.5,40936.5,25491,78017.75,14379,2527,814,483438.25,158458.25,72.49550485506681,15.838475751556688,11.666019393376507,27.504495144933195,84.16152424844331,54.854260282698895,11.984299896856067,12.21101308002811
1964,4,684508.25,376029.25,337841.75,38187.5,54540,59131,18830.75,84981,73238.75,46665.75,26573,82389,16479.75,3004.75,865.5,520141.25,170684.25,72.29367984177375,16.338062016807935,11.368258141418316,27.70632015822625,83.66193798319206,54.93421737429753,12.414897848199784,12.036231849652651
1965,4,741549,405409.5,363751.75,41657.75,57702,63663.25,19337.75,96212,84582.5,54814.5,29768,88006,18575.75,3484,787.75,565284.75,189643.25,71.71774932898862,17.020094739863406,11.262155931147975,28.28225067101138,82.97990526013659,54.67062864355558,12.974462914790527,11.867860384141844
1966,4,808328.5,449224.5,400296.75,48927.75,59262,67933.25,19910.25,103979.75,91593.75,59361.75,32232,95309,21316.75,3391,387.75,621137.5,204145.75,72.32287536978528,16.740214525769254,10.936910104445474,27.677124630214728,83.25978547423074,55.57449724957118,12.863551142883122,11.790874625848279
1967,4,856596.5,481761,428979.25,52781.75,64126,69474,20346.25,106410.25,89090.75,58098.75,30992,103555.5,24336.75,3628.5,277.75,657645.25,206876.25,73.25545193248183,16.180493966922135,10.564054100596028,26.744548067518163,83.81950603307786,56.24129914142773,12.422447441706801,12.089180845357179
1968,4,937513.25,530738.5,471959.5,58779,72233,73829,20096.25,109740.25,96111.5,58947.5,37164,113356.5,26514.5,4182,453,714307.75,220732.5,74.30109781113252,15.363161046481716,10.335741142385757,25.698902188867475,84.63683895351828,56.61130656020062,11.70546122948129,12.091189111193895
1969,4,1016033,584437.25,518311,66126.25,79322,77005,20347,113251.5,91821.25,54863.25,36958,124896.25,33243.25,4798,162.75,774693.75,227214.5,75.44106945486523,14.618873587143307,9.940056957991464,24.55893054513477,85.38112641285669,57.5214830620659,11.146439141248365,12.29253872659648
1970,4,1067965,623323.75,551537,71786.75,86636,77801.75,20664,113137.5,79143.75,47880.75,31263,136837.25,40235.75,4357,-1034,814263,222202.25,76.55066606243929,13.894466529855833,9.554867407704881,23.449333937560713,86.10553347014417,58.365559732762776,10.593746049730095,12.812896490053513
1971,4,1155331.75,664973.75,584527.5,80446.25,95818,83904.25,21827.5,128417.75,92791.75,57983.75,34808,148925.75,44448.5,4158,-1515.5,877295.75,247130,75.79812737038792,14.637908595818457,9.56396403379362,24.201872629612076,85.36209140418154,57.55695279732423,11.115227292939885,12.89030185485684
1972,4,1271952.5,731334.25,638785.75,92548.5,101292,95095.25,22719.5,145048.75,107677.75,68567.75,39110,161008.25,48983,4778.5,-936.25,971478.25,279253.75,75.28055826262708,14.930725417681765,9.78871631969115,24.719441737372915,85.06927458231823,57.49697807111508,11.40362945943343,12.658353987275468
1973,4,1419230.75,812695,708774.5,103920.5,111990,112520,23116.25,159668.5,118491.5,72859.5,45632,178682.75,57952.25,5740.5,-1958,1084883.5,317820.25,74.91080839555583,14.717571057168811,10.371620547275352,25.089191604444164,85.28242894283119,57.26306310654557,11.250355165993973,12.590112636722393
1974,4,1537780.25,887736.25,772304,115432.25,121595,112213.25,23180.25,164554,108235.75,61000.75,47235,206893.25,73586,6787,-2446,1164503.5,324002,76.23302549112132,14.13082914735765,9.636145361521026,23.766974508878675,85.86917085264236,57.72842055943949,10.700748692799248,13.454019194224923
1975,4,1671554,947274,814881,132393,130798,118238.5,22292.5,194536.75,124227.75,77963.75,46264,238511.25,85244.5,9036,-4068.25,1260049.25,359039.25,75.17753770338739,15.4388211413165,9.383641155296113,24.822462296612613,84.5611788586835,56.67026012919714,11.6380775015345,14.268833073894113
1976,4,1852758.5,1048384,899782,148602,141263,130974.75,20309,214878,157790,98372,59418,260226.5,87061.5,9135.5,-2385.25,1394236.75,405270.75,75.19411606386075,15.411873198723244,9.394010737416009,24.805883936139253,84.58812680127676,56.58503253392172,11.597733865476801,14.04535453487327
1977,4,2062379,1165887.25,994220,171667.25,152564,144491.75,15865.75,244061,186670.5,118166.5,68504,289829.25,101947.75,8081,-2957.75,1554440,457056.25,75.00368299837884,15.700895499343815,9.295421502277348,24.99631700162116,84.29910450065618,56.53118316274555,11.833954864746005,14.053151724295098
1978,4,2328274.5,1316862.75,1120668.75,196193.75,161962,165974,16546.25,280807.5,215700,137848,77852,327194.75,116038.25,10375,-2377.5,1763644.25,524633,74.66714163017853,15.922003544649098,9.410854825172366,25.332858369821466,84.0779964553509,56.559600253320646,12.06075572274661,14.05310026803111
1979,4,2582329.25,1477302,1253385.25,223917,171570,179437,16092.5,302101.5,214604.75,133867.75,80737,373880.25,139389,12752.25,-2698.75,1958840.5,562275.5,75.4171664308554,15.422465484045281,9.160368085099323,24.582833569144604,84.57753451595472,57.20811937517263,11.698798671780525,14.478411302509159
1980,4,2813037.25,1622345.5,1373519.75,248826,190530,171570.25,18978.75,329159.75,187654.5,112170.5,75484,428429.5,184013.5,13997,-4481.5,2123075.5,576214,76.41487549547814,15.503911660230642,8.081212844291217,23.58512450452186,84.49608833976936,57.67237884958686,11.70122258423702,15.230139593778931
1981,4,3169337,1792680.75,1511528.75,281152,224171,179678.5,23780.75,419980,216215.5,145900.5,70315,487229,233385,16913.75,-4717.25,2392339.25,669973.25,74.93421971821095,17.5552025073367,7.510577774452348,25.06578028178905,82.4447974926633,56.56327332814403,13.251351938907096,15.373215281303313
1982,4,3335139.5,1893174.25,1587709.25,305465.25,225916,171191,23832.75,460018.5,195168.5,143874.5,51294,536963.25,272994,19317.25,-3417.25,2524383.75,682503.25,74.99550137731634,18.223001950476032,6.781496672207623,25.004498622683656,81.77699804952397,56.76446967210817,13.793081218941516,16.100173620923503
