date,gdi,comp,wages,supp,topi,subsidies,nos,nos_priv,interest,bctp,prop,rental,cprof,ctax,cprof_at,gov_ent,cfc,topi_net,ucap,ni,lab_net,cap_net,prop_net,capmax_net,labmax_net,c_comp,c_wages,c_supp,c_ucap,c_prop,c_cfc,c_topi,c_ctax,c_rent,lab_gross
1947-03-01,240092,128920,118795,10125,17679,511,NA,65933,1992,524,36188,6657,20571,11496,9075,NA,28071,17168,18248,183356,70.31130696568424,9.952224088658129,19.736468945657627,29.688693034315758,90.04777591134187,53.69608316811889,49.478949735934556,4.21713343218433,7.600419839061693,15.072555520383853,11.691768155540377,7.150592272962031,4.788164536927511,2.7726871365976375,53.69608316811889
1947-06-01,243209,130718,121191,9526,17740,417,NA,66462,2223,685,33262,6768,23523,10880,12643,NA,28706,17323,22319,186299,70.16570137252481,11.980203865828587,17.8540947616466,29.83429862747519,88.01979613417141,53.74718863199964,49.82998162074594,3.916795842259127,9.176880789773405,13.676303097336037,11.803017158082143,7.1226804929093905,4.473518660904818,2.782791755239321,53.74718863199964
1947-09-01,247579,132712,123919,8793,18031,364,NA,67684,2404,797,33893,6973,23616,10724,12892,NA,29515,17667,23066,189671,69.96957890241524,12.161057831719134,17.86936326586563,30.030421097584764,87.83894216828087,53.60390016923891,50.05230653649946,3.551593632739449,9.316622169085424,13.689771749623352,11.921447295610694,7.135904095258483,4.331546698225617,2.816474741395676,53.60390016923891
1947-12-01,256122,136808,128198,8610,18974,302,NA,70451,2465,854,34972,7157,25003,11672,13331,NA,30191,18672,23807,195587,69.9473891414051,12.172076876275009,17.88053398231989,30.052610858594896,87.82792312372499,53.41516933336457,50.0534901336082,3.361679199756366,9.295179640952359,13.654430310555126,11.787741779308298,7.290275727973388,4.5572032078462605,2.794371432364264,53.41516933336457
1948-03-01,265070,140319,131579,8740,18963,384,NA,75557,2352,732,36384,7319,28771,12008,16763,NA,30615,18579,27166,203869,68.82802191603432,13.32522355041718,17.846754533548506,31.171978083965683,86.67477644958282,52.93658278945184,49.63934055155242,3.2972422378994226,10.248613573772966,13.726185535896178,11.549779303580186,7.009091937978647,4.530124118157468,2.7611574301128003,52.93658278945184
1948-06-01,273654,141984,133292,8692,19665,292,NA,81211,2336,705,40231,7465,30473,12648,17825,NA,31086,19373,28331,210546,67.43609472514319,13.455966867097926,19.107938407758876,32.5639052748568,86.54403313290207,51.88449648095771,48.70822279228515,3.1762736886725573,10.352854334305365,14.70141127116724,11.35960007893179,7.0793776082206,4.621894801464623,2.7278972717373033,51.88449648095771
1948-09-01,278941,146761,137971,8790,20006,615,NA,81138,2400,700,40604,7536,29898,12408,17490,NA,31650,19391,28126,215491,68.10539651307943,13.052053217999823,18.842550268920743,31.894603486920566,86.94794678200017,52.61363514148153,49.462431123427535,3.1512040180539973,10.083135860271527,14.556483270655802,11.346485457498181,6.951649273502282,4.448252497840045,2.701646584761652,52.61363514148153
1948-12-01,281223,147843,139015,8828,20270,869,NA,82021,2429,692,39897,7617,31385,11952,19433,NA,31959,19401,30171,217911,67.84558833652271,13.845560802345911,18.30885086113138,32.15441166347729,86.15443919765409,52.571446858898454,49.43230105645698,3.1391458024414787,10.728496602340492,14.186961948347042,11.364290971933306,6.898795617712634,4.250008000768074,2.7085266852284486,52.571446858898454
1949-03-01,274180,146209,136684,9525,20369,585,NA,75939,2552,650,35414,7543,29780,10836,18944,NA,32249,19784,29689,211312,69.1910539865223,14.049840993412584,16.759105020065117,30.8089460134777,85.95015900658741,53.32591728061857,49.85192209497411,3.4739951856444673,10.828287985994603,12.916332336421329,11.761981180246554,7.215697716828361,3.9521482237945875,2.7511124079072142,53.32591728061857
1949-06-01,270661,144622,134947,9675,20822,399,NA,73360,2616,657,34937,7654,27496,9520,17976,NA,32256,20423,28903,208462,69.37571355930578,13.864877051932726,16.7594093887615,30.624286440694227,86.13512294806728,53.43289206793738,49.8583098414622,3.5745822264751848,10.678671844114962,12.908028862673234,11.917490883429826,7.545601324165654,3.5173150176789414,2.827891716944813,53.43289206793738
