year,nq,w_corp,w_govnp,w_oth,l_corp,l_oth,conv_pct,oo_hous_gdi
1947,4,50.33096529004004,13.18695001940621,36.48208469055375,86.46918714058243,36.6961017835357,35.15901832396581,NA
1948,4,51.69641561799303,12.156161058341599,36.147423323665365,83.15114843790997,35.69783074031534,34.21905906581255,NA
1949,4,51.544284387231365,13.579680171318767,34.876035441449865,82.81135977356925,37.527350412625125,34.00345858174114,NA
1950,4,51.601261216483685,13.486850864035361,34.91188791948096,84.84376780496615,37.0475945328414,34.03087805873843,NA
1951,4,51.0107086414097,14.864375816911684,34.12491554167862,86.45705185777791,36.69760738290053,35.00511081124263,NA
1952,4,51.12542298679815,15.538462642595443,33.33611437060641,86.34282696164705,37.42730661069175,34.86389065320286,NA
1953,4,52.30655972788721,15.275840532501272,32.41759973961151,87.30285427587532,38.319100674704245,33.695940206078404,NA
1954,4,51.814251116868626,15.446472723891478,32.73927615923989,86.27773427303576,37.49122136616198,34.150102071437324,NA
1955,4,53.47993696318756,15.04599415991624,31.4740688768962,84.14092623378815,37.22610780218965,32.99693994545729,NA
1956,4,54.02394251458506,15.036659007302577,30.939398478112363,85.56671891461315,37.52934119858501,32.42154022627393,NA
1957,4,53.857533403552786,15.296888368469748,30.845578227977462,86.08699698566251,37.21306036593761,32.51692193736081,NA
1958,4,51.978854239989104,16.264111450788217,31.757034309222682,86.82578134307613,36.11641944975278,34.14126485112578,NA
1959,4,53.85326521568607,15.71536263478788,30.431372149526045,85.26036026237013,36.75140179094485,32.49915956541892,5.5704045768332575
1960,4,54.05969630548705,16.198544631996757,29.741759062516195,86.02653577728353,36.34936091265977,32.55116194703485,5.75201747327279
1961,4,53.658608317157814,16.637315452032233,29.704076230809953,85.74579336804604,35.08779225305397,33.200576436680194,5.910771063947671
1962,4,54.70668113376021,16.519503286751913,28.773815579487874,84.20193587392676,34.62267282504576,32.51772182573556,5.913386292861971
1963,4,55.08164693215731,16.68992885854605,28.228424209296637,83.61957032999325,34.527394901331455,32.22960740073836,5.9142637573503745
1964,4,55.640511111164514,16.737616945397043,27.621871943438443,82.64421403255079,34.65514511276495,31.726189760954355,5.8423327987646605
1965,4,56.441200651530046,16.612600994454564,26.946198354015387,81.44840912260797,33.89972935756477,31.295643478795423,5.753901630236168
