year,nq,gdi,comp,prop,ucap,ni,rental,interest,bctp,cprof,ctax,cfc,A194RC,W151RC,W152RC,A439RC,A442RC,W321RC,A451RC,A2009C,ni_pretax,ni_exh,govnp,ni_bus,v1_tf,v2_labmax,v3_prop75,v4_pretax,v5_exhouse,cap_exhouse,cap_tf,v6_exh_labmax,v7_business,v7_labmax,v8_corp_tf,v8_corp_std,v8_corp_extax,v9_gross,govnp_share,prop_share,rental_share
1947,4,246750.5,132289.5,34578.75,21860,188728.25,6888.75,2271,715,23178.25,11193,29120.75,19747.75,2350.75,2789,117706.75,82136,11525,127503,12236.25,199921.25,181839.5,24887.5,163840.75,70.09522951651383,88.41720834056375,83.83671363455126,66.17080475437203,72.75069498101348,8.23322215470236,11.582791659436253,91.76677784529764,65.55267843927716,86.65777591960486,86.46918714058243,69.78019527342315,77.35415925994816,53.61265731984332,13.18695001940621,18.321978824049925,3.6500894805096746
1948,4,274722,144226.75,39279,28448.5,211954.25,7484.25,2379.25,707.25,30131.75,12254,31327.5,20161.5,2364.25,3239.75,134575.75,91111,12749,146063.75,13668.25,224208.25,204470,25765.5,186188.75,68.0461703410052,86.57799973343305,81.94504238532608,64.32713782833594,70.53687582530445,10.252971096004304,13.42200026656696,89.7470289039957,63.62427912534995,84.72061281898074,83.15114843790997,67.70239066102177,74.78735171052334,52.499162790020456,12.156161058341599,18.53182939242785,3.5310686150431048
1949,4,270734,144275.75,34690,29067.5,208033.25,7798.25,2658.25,688.25,27932.75,10010,32285.5,22317.75,2357,3575.5,130610.25,88798,13371,143022,15056,218043.25,200235,28250.25,179783,69.35225498808484,86.02747397351145,81.85866922715479,66.16840924908246,72.05321247534147,10.622143980822534,13.972526026488554,89.37785601917747,64.5364133427521,83.83189734290784,82.81135977356925,67.98700714530445,75.74084617566216,53.29059150309898,13.579680171318767,16.675218985426607,3.748559424995764
1950,4,298564.75,158190.25,37514.5,29633.25,225338,8779,2969,823.75,34789.5,17728,33392.25,23936.75,2573,3881.25,148826.25,98654,14821,162114,16665.5,243066,216559,30391,194947,70.20131979515217,86.84942175753757,82.68739626694122,65.08119193963779,73.04718344654344,9.62982374318315,13.150578242462434,90.37017625681685,65.55589467906661,84.7993300743279,84.84376780496615,66.28803722461595,73.61950371347392,52.98356554147802,13.486850864035361,16.648101962385393,3.895925232317674
1951,4,343469.25,185690,42594.75,31458.75,259743.5,9719.5,3430,1159.5,39453.75,22304,37725.25,31686.25,2662,4261,170654,114553,15853,185790,18733.25,282047.5,250024,38609.25,221134.25,71.48975816526689,87.88853234055905,83.78883879673602,65.83642826119714,74.2688701884619,8.694865292931878,12.11146765944095,91.30513470706812,66.511971799936,85.7739133580619,86.45705185777791,67.125880436438635,74.00016795757134,54.0630638696186,14.864375816911684,16.398774175292164,3.7419608190387823
1952,4,364731.75,201086,43039,34548,278673,10815.75,3865,1197.5,37776.75,19107,40604.5,36056.5,2615,4630,178910.75,123015,17331,195027,21050.75,297780,267857.25,43301.5,235371.5,72.15840788307443,87.60267410190438,83.74160754719689,67.52837665390557,75.072076637836,8.860036455985417,12.397325898095618,91.13996354401458,67.03636591515965,85.32192725117527,86.34282696164705,68.7577465300436,76.13268370572426,55.13257345980985,15.538462642595443,15.444266218829954,3.8811617917774597
1953,4,385427.5,215253,42017.5,36137.25,293407.75,12028.5,4403.75,1153,38496,19944,43490,37018.5,2691,5111,191883.5,133985,18468,209184,23404.75,313351.75,281379.25,44820.5,248587.25,73.36309282900673,87.68360753933732,84.10347886175468,68.69372837394398,76.49924434726441,8.56806249927811,12.316392460662678,91.43193750072189,68.56043501828835,85.46295113687448,87.30285427587532,69.82622268199194,77.2624131060949,55.847857249417856,15.275840532501272,14.32051471033059,4.09958496324654
1954,4,387638.75,214196,42255,39297.75,295748.75,13060.75,5171.5,915.75,37497.75,17348,45980.5,37567,2571,5544.75,188525,132212,17937,206865.25,25623.25,313096.75,282688,45682.75,250066,72.42498911660658,86.71245440597805,83.14058808363518,68.4120802914754,75.77116821371972,9.281257074937741,13.287545594021953,90.71874292506226,67.38750969743988,84.28504874713076,86.27773427303576,70.12969102241082,77.50369310854222,55.256601668434854,15.446472723891478,14.287465289371468,4.416164058174379
1955,4,423344.25,230639.75,44272.5,46487.25,321399.5,13421.75,5743.75,1297.25,47813.5,21789,48889.25,39241.75,3053,6063,213491.25,144625,19818,233051.25,27443.5,343188.5,307977.75,48357.75,273041.75,71.76107927983709,85.53599181081489,82.09226367807044,67.20497627397188,74.88844567505282,10.736327543142322,14.46400818918511,89.26367245685768,66.75975377391919,82.97430704278742,84.14092623378815,67.74282318361993,74.67474212365414,54.48042580004334,15.04599415991624,13.774912530977801,4.176033254563246
1956,4,451384.25,249357.5,45818.75,46997.5,342173.75,13667.75,6445,1650.5,46825.25,21591,54125,41589.75,3268,6593.75,227964.75,158175,21518,250053,29394.5,363764.75,328506,51451.5,290722.25,72.87452646499037,86.26501886833809,82.91739576750116,68.54911037971657,75.90652834347013,10.145857305498225,13.734981131661911,89.85414269450177,68.07390903173045,83.83422665447863,85.56671891461315,69.38572739864387,76.61782033381489,55.24284464954194,15.036659007302577,13.390492403347714,3.9943888156236413
