date,Labor share of net income (TF convention)
1947-03-01,70.311
1947-06-01,70.166
1947-09-01,69.97
1947-12-01,69.947
1948-03-01,68.828
1948-06-01,67.436
1948-09-01,68.105
1948-12-01,67.846
1949-03-01,69.191
1949-06-01,69.376
1949-09-01,69.031
1949-12-01,69.821
1950-03-01,69.7
1950-06-01,69.981
1950-09-01,70.343
1950-12-01,70.706
1951-03-01,72.495
1951-06-01,71.56
1951-09-01,70.868
1951-12-01,71.116
1952-03-01,72.168
1952-06-01,72.071
1952-09-01,71.926
1952-12-01,72.458
1953-03-01,72.673
1953-06-01,73.257
1953-09-01,73.584
1953-12-01,73.944
1954-03-01,72.761
1954-06-01,72.564
1954-09-01,72.256
1954-12-01,72.129
1955-03-01,71.356
1955-06-01,71.459
1955-09-01,71.968
1955-12-01,72.23
1956-03-01,72.733
1956-06-01,73.023
1956-09-01,72.709
1956-12-01,73.029
1957-03-01,73.003
1957-06-01,73.05
1957-09-01,73.042
1957-12-01,73.465
1958-03-01,73.194
1958-06-01,72.854
1958-09-01,72.903
1958-12-01,72.526
1959-03-01,72.916
1959-06-01,72.562
1959-09-01,72.933
1959-12-01,72.851
1960-03-01,73.301
1960-06-01,73.613
1960-09-01,73.523
1960-12-01,73.622
1961-03-01,73.56
1961-06-01,73.131
1961-09-01,72.992
1961-12-01,72.627
1962-03-01,72.492
1962-06-01,72.734
1962-09-01,72.644
1962-12-01,72.317
1963-03-01,72.468
1963-06-01,72.484
1963-09-01,72.519
1963-12-01,72.51
1964-03-01,72.122
1964-06-01,72.257
1964-09-01,72.361
1964-12-01,72.426
1965-03-01,71.691
1965-06-01,71.666
1965-09-01,71.754
1965-12-01,71.757
1966-03-01,71.475
1966-06-01,72.285
1966-09-01,72.78
1966-12-01,72.717
1967-03-01,72.971
1967-06-01,73.211
1967-09-01,73.291
1967-12-01,73.536
1968-03-01,74.211
1968-06-01,74.14
1968-09-01,74.318
1968-12-01,74.523
1969-03-01,74.719
1969-06-01,75.107
1969-09-01,75.556
1969-12-01,76.337
1970-03-01,76.815
1970-06-01,76.49
1970-09-01,76.388
1970-12-01,76.517
1971-03-01,76.069
1971-06-01,75.994
1971-09-01,75.721
1971-12-01,75.43
1972-03-01,75.721
1972-06-01,75.801
1972-09-01,75.121
1972-12-01,74.542
1973-03-01,75.016
1973-06-01,75.113
1973-09-01,74.95
1973-12-01,74.584
1974-03-01,75.464
1974-06-01,76.24
1974-09-01,76.788
1974-12-01,76.414
1975-03-01,75.73
1975-06-01,75.347
1975-09-01,74.848
1975-12-01,74.829
1976-03-01,74.894
1976-06-01,75.163
1976-09-01,75.214
1976-12-01,75.487
1977-03-01,75.53
1977-06-01,75.104
1977-09-01,74.756
1977-12-01,74.674
1978-03-01,75.039
1978-06-01,74.428
1978-09-01,74.54
1978-12-01,74.681
1979-03-01,74.899
1979-06-01,75.238
1979-09-01,75.687
1979-12-01,75.81
1980-03-01,76.648
1980-06-01,77.159
1980-09-01,76.589
1980-12-01,75.348
1981-03-01,75.41
1981-06-01,75.305
1981-09-01,74.274
1981-12-01,74.788
1982-03-01,75.208
1982-06-01,74.82
