date,0% (their measure),50%,100%
1947-03-01,70.311,80.18,90.048
1947-06-01,70.166,79.093,88.02
1947-09-01,69.97,78.904,87.839
1947-12-01,69.947,78.888,87.828
1948-03-01,68.828,77.751,86.675
1948-06-01,67.436,76.99,86.544
1948-09-01,68.105,77.527,86.948
1948-12-01,67.846,77,86.154
1949-03-01,69.191,77.571,85.95
1949-06-01,69.376,77.755,86.135
1949-09-01,69.031,77.264,85.496
1949-12-01,69.821,78.18,86.538
1950-03-01,69.7,78.298,86.895
1950-06-01,69.981,78.37,86.759
1950-09-01,70.343,78.681,87.018
1950-12-01,70.706,78.718,86.73
1951-03-01,72.495,80.798,89.102
1951-06-01,71.56,79.792,88.024
1951-09-01,70.868,79.024,87.181
1951-12-01,71.116,79.23,87.345
1952-03-01,72.168,79.84,87.512
1952-06-01,72.071,79.912,87.753
1952-09-01,71.926,79.911,87.897
1952-12-01,72.458,79.859,87.26
1953-03-01,72.673,79.995,87.317
1953-06-01,73.257,80.431,87.605
1953-09-01,73.584,80.587,87.591
1953-12-01,73.944,81.085,88.227
1954-03-01,72.761,80.045,87.329
1954-06-01,72.564,79.744,86.924
1954-09-01,72.256,79.412,86.569
1954-12-01,72.129,79.089,86.049
1955-03-01,71.356,78.375,85.394
1955-06-01,71.459,78.392,85.325
1955-09-01,71.968,78.833,85.697
1955-12-01,72.23,78.973,85.715
1956-03-01,72.733,79.449,86.166
1956-06-01,73.023,79.696,86.37
1956-09-01,72.709,79.444,86.179
1956-12-01,73.029,79.686,86.343
1957-03-01,73.003,79.583,86.164
1957-06-01,73.05,79.698,86.346
1957-09-01,73.042,79.774,86.505
1957-12-01,73.465,80.117,86.77
1958-03-01,73.194,80.273,87.353
1958-06-01,72.854,79.918,86.982
1958-09-01,72.903,79.739,86.574
1958-12-01,72.526,79.173,85.82
1959-03-01,72.916,79.44,85.965
1959-06-01,72.562,78.936,85.31
1959-09-01,72.933,79.331,85.73
1959-12-01,72.851,79.202,85.552
1960-03-01,73.301,79.401,85.501
1960-06-01,73.613,79.797,85.98
1960-09-01,73.523,79.701,85.878
1960-12-01,73.622,79.836,86.049
1961-03-01,73.56,79.906,86.253
1961-06-01,73.131,79.392,85.653
1961-09-01,72.992,79.221,85.449
1961-12-01,72.627,78.829,85.031
1962-03-01,72.492,78.652,84.811
1962-06-01,72.734,78.764,84.793
1962-09-01,72.644,78.607,84.57
1962-12-01,72.317,78.287,84.256
1963-03-01,72.468,78.386,84.304
1963-06-01,72.484,78.301,84.119
1963-09-01,72.519,78.3,84.08
1963-12-01,72.51,78.328,84.147
1964-03-01,72.122,77.84,83.558
1964-06-01,72.257,77.959,83.662
1964-09-01,72.361,78.004,83.648
1964-12-01,72.426,78.1,83.774
1965-03-01,71.691,77.342,82.993
1965-06-01,71.666,77.327,82.988
1965-09-01,71.754,77.374,82.994
1965-12-01,71.757,77.351,82.946
1966-03-01,71.475,77.187,82.899
1966-06-01,72.285,77.751,83.217
1966-09-01,72.78,78.143,83.507
1966-12-01,72.717,78.059,83.401
1967-03-01,72.971,78.32,83.669
1967-06-01,73.211,78.482,83.754
1967-09-01,73.291,78.617,83.943
1967-12-01,73.536,78.72,83.905
1968-03-01,74.211,79.417,84.624
1968-06-01,74.14,79.317,84.494
1968-09-01,74.318,79.497,84.675
1968-12-01,74.523,79.635,84.748
1969-03-01,74.719,79.74,84.761
1969-06-01,75.107,80.129,85.15
1969-09-01,75.556,80.52,85.483
1969-12-01,76.337,81.215,86.093
1970-03-01,76.815,81.628,86.442
1970-06-01,76.49,81.22,85.95
1970-09-01,76.388,81.16,85.932
1970-12-01,76.517,81.311,86.105
1971-03-01,76.069,80.784,85.499
1971-06-01,75.994,80.765,85.536
1971-09-01,75.721,80.501,85.281
1971-12-01,75.43,80.288,85.146
1972-03-01,75.721,80.419,85.118
1972-06-01,75.801,80.592,85.383
1972-09-01,75.121,79.998,84.875
1972-12-01,74.542,79.73,84.918
1973-03-01,75.016,79.989,84.962
1973-06-01,75.113,80.254,85.394
1973-09-01,74.95,80.147,85.345
1973-12-01,74.584,79.999,85.413
1974-03-01,75.464,80.551,85.639
1974-06-01,76.24,80.954,85.668
