date,Nonfinancial corporate net labor share (net of depreciation),1947-49 average
1947-03-01,70.945,68.684
1947-06-01,69.334,68.684
1947-09-01,69.749,68.684
1947-12-01,69.505,68.684
1948-03-01,68.216,68.684
1948-06-01,67.314,68.684
1948-09-01,68.265,68.684
1948-12-01,67.596,68.684
1949-03-01,68.019,68.684
1949-06-01,68.635,68.684
1949-09-01,67.574,68.684
1949-12-01,69.062,68.684
1950-03-01,67.972,68.684
1950-06-01,66.858,68.684
1950-09-01,65.676,68.684
1950-12-01,65.624,68.684
1951-03-01,66.608,68.684
1951-06-01,67.734,68.684
1951-09-01,67.662,68.684
1951-12-01,67.439,68.684
1952-03-01,68.613,68.684
1952-06-01,69.279,68.684
1952-09-01,69.705,68.684
1952-12-01,69.025,68.684
1953-03-01,68.975,68.684
1953-06-01,69.605,68.684
1953-09-01,70.046,68.684
1953-12-01,72.759,68.684
1954-03-01,71.642,68.684
1954-06-01,71.028,68.684
1954-09-01,70.282,68.684
1954-12-01,69.438,68.684
1955-03-01,67.857,68.684
1955-06-01,67.882,68.684
1955-09-01,68.277,68.684
1955-12-01,68.376,68.684
1956-03-01,69.442,68.684
1956-06-01,69.753,68.684
1956-09-01,70.012,68.684
1956-12-01,70.139,68.684
1957-03-01,69.867,68.684
1957-06-01,70.304,68.684
1957-09-01,70.714,68.684
1957-12-01,71.815,68.684
1958-03-01,72.943,68.684
1958-06-01,72.284,68.684
1958-09-01,71.325,68.684
1958-12-01,70.026,68.684
1959-03-01,69.496,68.684
1959-06-01,68.87,68.684
1959-09-01,70.231,68.684
1959-12-01,70.289,68.684
1960-03-01,69.87,68.684
1960-06-01,70.968,68.684
1960-09-01,70.91,68.684
1960-12-01,71.348,68.684
1961-03-01,71.634,68.684
1961-06-01,70.636,68.684
1961-09-01,70.234,68.684
1961-12-01,69.459,68.684
1962-03-01,69.475,68.684
1962-06-01,69.835,68.684
1962-09-01,69.441,68.684
1962-12-01,68.989,68.684
1963-03-01,68.957,68.684
1963-06-01,68.466,68.684
1963-09-01,68.397,68.684
1963-12-01,68.407,68.684
1964-03-01,67.887,68.684
1964-06-01,68.09,68.684
1964-09-01,68.109,68.684
1964-12-01,68.376,68.684
1965-03-01,67.244,68.684
1965-06-01,67.191,68.684
1965-09-01,67.335,68.684
1965-12-01,67.226,68.684
1966-03-01,67.154,68.684
1966-06-01,67.85,68.684
1966-09-01,68.604,68.684
1966-12-01,68.729,68.684
1967-03-01,69.24,68.684
1967-06-01,69.442,68.684
1967-09-01,69.544,68.684
1967-12-01,69.155,68.684
1968-03-01,69.485,68.684
1968-06-01,69.16,68.684
1968-09-01,69.307,68.684
1968-12-01,69.348,68.684
1969-03-01,69.971,68.684
1969-06-01,70.646,68.684
1969-09-01,71.31,68.684
1969-12-01,72.229,68.684
1970-03-01,73.204,68.684
1970-06-01,72.533,68.684
1970-09-01,72.702,68.684
1970-12-01,73.205,68.684
1971-03-01,71.739,68.684
1971-06-01,71.743,68.684
1971-09-01,71.593,68.684
1971-12-01,71.324,68.684
1972-03-01,71.633,68.684
1972-06-01,71.783,68.684
1972-09-01,71.394,68.684
1972-12-01,70.998,68.684
1973-03-01,71.069,68.684
1973-06-01,71.729,68.684
1973-09-01,71.934,68.684
1973-12-01,71.981,68.684
1974-03-01,72.914,68.684
1974-06-01,73.175,68.684
1974-09-01,73.86,68.684
1974-12-01,74.032,68.684
1975-03-01,73.599,68.684
1975-06-01,72.4,68.684
