year,Capital share of net income (TF convention),"Top 1% share of wage income (Piketty-Saez, through 2011)"
1929,23.278,8.671
1930,22.254,8.541
1931,19.517,8.468
1932,17.527,8.29
1933,15.341,8.308
1934,17.043,8.307
1935,17.1,8.401
1936,17.75,8.597
1937,16.884,8.407
1938,16.589,8.127
1939,17.412,8.197
1940,18.137,8.369
1941,16.096,8.111
1942,14.031,7.212
1943,12.437,6.424
1944,12.138,5.564
1945,10.904,5.726
1946,10.134,6.398
1947,11.583,6.274
1948,13.421,6.209
1949,13.972,6.119
1950,13.15,6.235
1951,12.111,5.97
1952,12.399,5.742
1953,12.316,NA
1954,13.288,5.61
1955,14.465,NA
1956,13.735,5.556
1957,13.554,NA
1958,13.332,5.395
1959,14.364,NA
1960,14.148,5.261
1961,14.413,5.197
1962,15.396,5.156
1963,15.839,NA
1964,16.338,5.12
1965,17.02,NA
1966,16.741,5.156
1967,16.181,5.335
1968,15.363,5.241
1969,14.619,5.188
1970,13.894,5.133
1971,14.638,5.182
1972,14.93,5.323
1973,14.718,5.422
1974,14.132,5.664
1975,15.439,5.64
1976,15.412,5.735
1977,15.701,5.856
1978,15.922,6.056
1979,15.422,6.217
1980,15.504,6.425
1981,17.555,6.425
1982,18.223,6.672
1983,18.801,6.955
1984,19.818,7.268
1985,19.726,7.276
1986,18.157,7.326
1987,17.494,8.153
1988,17.612,9.385
1989,17.729,8.694
1990,17.054,8.993
1991,16.821,8.561
1992,16.036,9.626
1993,16.147,9.054
1994,17.194,8.72
1995,17.708,9.272
1996,18.155,9.827
1997,18.597,10.461
1998,17.965,11.005
1999,17.359,11.67
2000,16.646,12.26
2001,16.682,10.876
2002,17.156,10.318
2003,17.372,10.215
2004,17.491,11.045
2005,18.348,11.434
2006,18.889,11.725
2007,18.098,12.2
2008,17.794,11.376
2009,19.075,10.243
2010,20.186,10.915
2011,20.102,11.026
2012,20.572,NA
2013,20.061,NA
2014,20.385,NA
2015,20.196,NA
2016,19.8,NA
2017,19.831,NA
2018,20.077,NA
2019,19.96,NA
2020,19.973,NA
2021,21.312,NA
2022,21.203,NA
2023,21.465,NA
2024,21.369,NA
2025,21.406,NA
