date,Net income (TF),Gross domestic income
1947-03-01,70.311,53.696
1947-06-01,70.166,53.747
1947-09-01,69.97,53.604
1947-12-01,69.947,53.415
1948-03-01,68.828,52.937
1948-06-01,67.436,51.884
1948-09-01,68.105,52.614
1948-12-01,67.846,52.571
1949-03-01,69.191,53.326
1949-06-01,69.376,53.433
1949-09-01,69.031,52.997
1949-12-01,69.821,53.408
1950-03-01,69.7,52.945
1950-06-01,69.981,52.957
1950-09-01,70.343,52.752
1950-12-01,70.706,53.265
1951-03-01,72.495,53.694
1951-06-01,71.56,54.275
1951-09-01,70.868,54.16
1951-12-01,71.116,54.11
1952-03-01,72.168,55.075
1952-06-01,72.071,55.053
1952-09-01,71.926,55.055
1952-12-01,72.458,55.337
1953-03-01,72.673,55.348
1953-06-01,73.257,55.652
1953-09-01,73.584,55.865
1953-12-01,73.944,56.537
1954-03-01,72.761,55.722
1954-06-01,72.564,55.459
1954-09-01,72.256,55.033
1954-12-01,72.129,54.831
1955-03-01,71.356,54.185
1955-06-01,71.459,54.356
1955-09-01,71.968,54.639
1955-12-01,72.23,54.722
1956-03-01,72.733,55.14
1956-06-01,73.023,55.302
1956-09-01,72.709,55.204
1956-12-01,73.029,55.321
1957-03-01,73.003,55.256
1957-06-01,73.05,55.307
1957-09-01,73.042,55.301
1957-12-01,73.465,55.6
1958-03-01,73.194,55.504
1958-06-01,72.854,55.106
1958-09-01,72.903,55.134
1958-12-01,72.526,54.637
1959-03-01,72.916,54.852
1959-06-01,72.562,54.591
1959-09-01,72.933,54.922
1959-12-01,72.851,54.953
1960-03-01,73.301,55.133
1960-06-01,73.613,55.553
1960-09-01,73.523,55.517
1960-12-01,73.622,55.569
1961-03-01,73.56,55.519
1961-06-01,73.131,55.226
1961-09-01,72.992,55.094
1961-12-01,72.627,54.787
1962-03-01,72.492,54.949
1962-06-01,72.734,55.247
1962-09-01,72.644,55.041
1962-12-01,72.317,54.848
1963-03-01,72.468,54.936
1963-06-01,72.484,54.826
1963-09-01,72.519,54.815
1963-12-01,72.51,54.842
1964-03-01,72.122,54.732
1964-06-01,72.257,54.908
1964-09-01,72.361,54.994
1964-12-01,72.426,55.092
1965-03-01,71.691,54.561
1965-06-01,71.666,54.583
1965-09-01,71.754,54.744
1965-12-01,71.757,54.786
1966-03-01,71.475,54.867
1966-06-01,72.285,55.473
1966-09-01,72.78,55.949
1966-12-01,72.717,55.978
1967-03-01,72.971,56.164
1967-06-01,73.211,56.241
1967-09-01,73.291,56.243
1967-12-01,73.536,56.314
1968-03-01,74.211,56.503
1968-06-01,74.14,56.496
1968-09-01,74.318,56.655
1968-12-01,74.523,56.78
1969-03-01,74.719,56.915
1969-06-01,75.107,57.246
1969-09-01,75.556,57.699
1969-12-01,76.337,58.189
1970-03-01,76.815,58.729
1970-06-01,76.49,58.408
1970-09-01,76.388,58.192
1970-12-01,76.517,58.146
1971-03-01,76.069,57.751
1971-06-01,75.994,57.673
1971-09-01,75.721,57.496
1971-12-01,75.43,57.322
1972-03-01,75.721,57.795
1972-06-01,75.801,57.841
1972-09-01,75.121,57.405
1972-12-01,74.542,56.989
1973-03-01,75.016,57.296
1973-06-01,75.113,57.393
1973-09-01,74.95,57.318
1973-12-01,74.584,57.056
1974-03-01,75.464,57.564
1974-06-01,76.24,57.783
1974-09-01,76.788,57.838
1974-12-01,76.414,57.724
1975-03-01,75.73,57.375
1975-06-01,75.347,56.852
1975-09-01,74.848,56.21
1975-12-01,74.829,56.302
1976-03-01,74.894,56.319
1976-06-01,75.163,56.544
1976-09-01,75.214,56.624
1976-12-01,75.487,56.838
1977-03-01,75.53,56.777
1977-06-01,75.104,56.523
1977-09-01,74.756,56.351
1977-12-01,74.674,56.491
1978-03-01,75.039,56.865
1978-06-01,74.428,56.254
1978-09-01,74.54,56.511
1978-12-01,74.681,56.622
1979-03-01,74.899,56.862
1979-06-01,75.238,57.047
1979-09-01,75.687,57.367
1979-12-01,75.81,57.531
1980-03-01,76.648,57.813
1980-06-01,77.159,58.332
1980-09-01,76.589,57.679
1980-12-01,75.348,56.928
1981-03-01,75.41,56.764
1981-06-01,75.305,56.759
1981-09-01,74.274,56.167
1981-12-01,74.788,56.58
1982-03-01,75.208,56.993
1982-06-01,74.82,56.649
1982-09-01,75.009,56.681
1982-12-01,74.95,56.741
1983-03-01,74.553,56.564
1983-06-01,74.549,56.328
1983-09-01,74.356,56.171
1983-12-01,73.859,56.016
1984-03-01,73.01,55.458
1984-06-01,72.729,55.399
1984-09-01,72.505,55.485
1984-12-01,72.554,55.476
1985-03-01,72.477,55.446
1985-06-01,72.775,55.642
1985-09-01,72.863,55.634
1985-12-01,73.514,56.143
1986-03-01,73.612,56.155
1986-06-01,74.031,56.369
1986-09-01,74.522,56.628
1986-12-01,75.2,56.965
1987-03-01,75.106,56.945
1987-06-01,74.744,56.595
1987-09-01,74.384,56.349
1987-12-01,74.41,56.559
1988-03-01,74.155,56.4
1988-06-01,74.405,56.488
1988-09-01,74.225,56.315
1988-12-01,74.012,56.184
1989-03-01,73.897,56.064
1989-06-01,73.996,56.216
1989-09-01,74.122,56.3
1989-12-01,74.815,56.814
1990-03-01,74.711,56.779
1990-06-01,74.735,56.896
1990-09-01,75.203,57.094
1990-12-01,75.423,57.091
1991-03-01,75.143,56.753
1991-06-01,75.273,56.844
1991-09-01,75.477,56.947
1991-12-01,75.863,57.184
1992-03-01,75.785,57.261
1992-06-01,75.744,57.329
1992-09-01,75.816,57.436
1992-12-01,75.508,57.253
1993-03-01,75.666,57.267
1993-06-01,75.454,57.073
1993-09-01,75.495,57.129
1993-12-01,75.024,56.54
1994-03-01,74.526,56.314
1994-06-01,74.512,56.29
1994-09-01,74.296,56.007
1994-12-01,74.044,55.815
1995-03-01,74.296,55.911
1995-06-01,74.072,55.834
1995-09-01,73.568,55.5
1995-12-01,73.434,55.47
1996-03-01,73.058,55.221
1996-06-01,72.869,55.12
1996-09-01,72.961,55.231
1996-12-01,72.646,55.041
1997-03-01,72.51,55.049
1997-06-01,72.587,55.037
1997-09-01,72.243,54.843
1997-12-01,72.384,55.127
1998-03-01,72.968,55.612
1998-06-01,72.835,55.632
1998-09-01,72.688,55.581
1998-12-01,72.897,55.808
1999-03-01,72.853,55.819
1999-06-01,73.09,55.932
1999-09-01,73.303,56.008
1999-12-01,73.603,56.234
2000-03-01,74.128,56.679
2000-06-01,73.744,56.373
2000-09-01,73.718,56.61
2000-12-01,73.812,56.674
2001-03-01,73.436,56.725
2001-06-01,72.976,56.362
2001-09-01,72.851,56.282
2001-12-01,73.744,56.693
2002-03-01,72.803,56.053
2002-06-01,72.652,55.96
2002-09-01,72.636,55.786
2002-12-01,72.182,55.39
2003-03-01,72.329,55.326
2003-06-01,72.401,55.513
2003-09-01,72.337,55.358
2003-12-01,72.581,55.471
2004-03-01,72.102,54.975
2004-06-01,72.154,54.974
2004-09-01,72.308,55.053
2004-12-01,72.155,54.818
2005-03-01,72.219,54.413
2005-06-01,71.763,54.125
2005-09-01,71.809,54.127
2005-12-01,71.153,53.537
2006-03-01,71.206,53.577
2006-06-01,70.867,53.242
2006-09-01,70.837,53.086
2006-12-01,71.617,53.743
2007-03-01,72.755,54.504
2007-06-01,72.112,54.138
2007-09-01,72.732,54.582
2007-12-01,73.306,54.985
2008-03-01,73.487,55.357
2008-06-01,73.333,55.181
2008-09-01,73.005,54.961
2008-12-01,74.037,55.895
2009-03-01,72.614,54.647
2009-06-01,72.78,54.765
2009-09-01,72.134,54.365
2009-12-01,71.313,53.711
2010-03-01,70.371,53.06
2010-06-01,70.493,53.265
2010-09-01,69.652,52.789
2010-12-01,69.625,52.732
2011-03-01,70.355,53.244
2011-06-01,69.628,52.746
2011-09-01,69.532,52.836
2011-12-01,68.619,51.999
2012-03-01,68.488,52.009
2012-06-01,68.537,51.968
2012-09-01,69.346,52.386
2012-12-01,69.509,52.688
2013-03-01,69.294,52.305
2013-06-01,69.393,52.396
2013-09-01,69.326,52.246
2013-12-01,69.348,52.241
2014-03-01,70.244,52.695
2014-06-01,69.253,52.014
2014-09-01,68.747,51.817
2014-12-01,69.205,52.168
2015-03-01,69.833,52.565
2015-06-01,69.924,52.641
2015-09-01,70.147,52.88
2015-12-01,70.399,53.124
2016-03-01,70.322,53.046
2016-06-01,70.706,53.226
2016-09-01,70.791,53.24
2016-12-01,70.762,53.307
2017-03-01,70.122,53.203
2017-06-01,70.409,53.317
2017-09-01,70.797,53.512
2017-12-01,70.721,53.529
2018-03-01,70.49,53.418
2018-06-01,70.36,53.254
2018-09-01,70.283,53.237
2018-12-01,70.205,53.132
2019-03-01,70.508,53.464
2019-06-01,70.529,53.35
2019-09-01,70.319,53.183
2019-12-01,70.53,53.355
2020-03-01,71.706,54.193
2020-06-01,71.25,55.894
2020-09-01,68.415,54.408
2020-12-01,70.08,54.043
2021-03-01,69.126,53.383
2021-06-01,68.097,53.186
2021-09-01,68.58,53.068
2021-12-01,69.169,52.651
2022-03-01,69.56,52.049
2022-06-01,68.865,51.377
2022-09-01,69.046,51.575
2022-12-01,69.3,51.682
2023-03-01,68.945,51.551
2023-06-01,69.215,51.833
2023-09-01,69.351,51.983
2023-12-01,68.903,51.696
2024-03-01,69.189,51.85
2024-06-01,69.238,51.854
2024-09-01,69.509,51.991
2024-12-01,69.315,51.867
2025-03-01,69.273,51.959
2025-06-01,69.33,51.689
2025-09-01,69.344,51.51
2025-12-01,69.296,51.192
2026-03-01,69.023,51.003
2026-06-01,68.316,50.382
