date,TF convention (net of production and corporate tax),Net of production taxes,Compensation / net value added
1947-03-01,88.699,78.581,70.734
1947-06-01,85.567,76.701,69.263
1947-09-01,85.8,77.216,69.735
1947-12-01,85.974,76.994,69.447
1948-03-01,83.632,75.153,68.114
1948-06-01,82.988,74.305,67.218
1948-09-01,83.699,75.259,68.101
1948-12-01,82.318,74.443,67.389
1949-03-01,82.389,75.034,67.726
1949-06-01,82.801,76.063,68.295
1949-09-01,81.984,75.044,67.276
1949-12-01,84.133,76.889,68.681
1950-03-01,85,75.485,67.684
1950-06-01,84.744,74.159,66.656
1950-09-01,85.048,73,65.555
1950-12-01,84.607,72.217,65.513
1951-03-01,88.872,73.573,66.452
1951-06-01,86.634,74.273,67.524
1951-09-01,85.082,74.198,67.418
1951-12-01,85.439,73.947,67.1
1952-03-01,86.077,75.494,68.333
1952-06-01,86.557,76.439,68.896
1952-09-01,86.816,76.847,69.251
1952-12-01,85.948,75.778,68.562
1953-03-01,86.26,75.755,68.567
1953-06-01,86.982,76.445,69.171
1953-09-01,87.298,76.917,69.549
1953-12-01,88.701,80.068,72.119
1954-03-01,87.128,78.746,71.113
1954-06-01,86.634,78.064,70.542
1954-09-01,86.12,77.178,69.883
1954-12-01,85.274,76.11,69.04
1955-03-01,83.914,74.377,67.512
1955-06-01,83.765,74.434,67.515
1955-09-01,84.36,74.923,67.91
1955-12-01,84.497,74.937,68.01
1956-03-01,85.334,76.17,69.044
1956-06-01,85.681,76.453,69.305
1956-09-01,85.403,76.83,69.52
1956-12-01,85.837,76.997,69.659
1957-03-01,85.587,76.729,69.423
1957-06-01,85.899,77.374,69.904
1957-09-01,86.12,77.787,70.271
1957-12-01,86.749,78.936,71.325
1958-03-01,87.732,80.606,72.337
1958-06-01,87.207,79.949,71.762
1958-09-01,86.644,78.79,70.947
1958-12-01,85.797,77.247,69.724
1959-03-01,85.197,76.67,69.247
1959-06-01,84.671,75.825,68.665
1959-09-01,85.662,77.567,69.82
1959-12-01,85.511,77.772,69.821
