date,Ex rental income of persons,Unambiguous capital (TF)
1947-03-01,6.56,9.952
1947-06-01,8.662,11.98
1947-09-01,8.809,12.161
1947-12-01,8.836,12.172
1948-03-01,10.098,13.325
1948-06-01,10.275,13.456
1948-09-01,9.901,13.052
1948-12-01,10.725,13.846
1949-03-01,10.868,14.05
1949-06-01,10.582,13.865
1949-09-01,11.133,14.504
1949-12-01,9.887,13.462
1950-03-01,9.473,13.105
1950-06-01,9.672,13.241
1950-09-01,9.513,12.982
1950-12-01,9.841,13.27
1951-03-01,7.394,10.898
1951-06-01,8.588,11.976
1951-09-01,9.451,12.819
1951-12-01,9.243,12.655
1952-03-01,9.005,12.488
1952-06-01,8.692,12.247
1952-09-01,8.534,12.103
1952-12-01,9.199,12.74
1953-03-01,9.092,12.683
1953-06-01,8.717,12.395
1953-09-01,8.633,12.409
1953-12-01,7.821,11.773
1954-03-01,8.682,12.671
1954-06-01,9.038,13.076
1954-09-01,9.397,13.431
1954-12-01,9.986,13.951
1955-03-01,10.782,14.606
1955-06-01,10.941,14.675
1955-09-01,10.607,14.303
1955-12-01,10.623,14.285
1956-03-01,10.178,13.834
1956-06-01,10.02,13.63
1956-09-01,10.257,13.821
1956-12-01,10.128,13.657
1957-03-01,10.348,13.836
1957-06-01,10.156,13.654
1957-09-01,10,13.495
1957-12-01,9.628,13.23
1958-03-01,8.908,12.647
1958-06-01,9.26,13.018
1958-09-01,9.762,13.426
1958-12-01,10.615,14.18
1959-03-01,10.545,14.035
1959-06-01,11.221,14.69
1959-09-01,10.688,14.27
1959-12-01,10.858,14.448
1960-03-01,10.955,14.499
1960-06-01,10.443,14.02
1960-09-01,10.527,14.122
1960-12-01,10.301,13.951
1961-03-01,10.056,13.747
1961-06-01,10.719,14.347
1961-09-01,10.955,14.551
1961-12-01,11.439,14.969
1962-03-01,11.702,15.189
1962-06-01,11.731,15.207
1962-09-01,11.958,15.43
1962-12-01,12.3,15.744
1963-03-01,12.256,15.696
1963-06-01,12.471,15.881
1963-09-01,12.531,15.92
1963-12-01,12.524,15.853
1964-03-01,13.213,16.442
1964-06-01,13.177,16.338
1964-09-01,13.236,16.352
1964-12-01,13.157,16.226
1965-03-01,14.013,17.007
1965-06-01,14.044,17.012
1965-09-01,14.06,17.006
1965-12-01,14.2,17.054
1966-03-01,14.295,17.101
1966-06-01,14.02,16.783
1966-09-01,13.734,16.493
1966-12-01,13.895,16.599
