year,Labor share of net income (annual)
1947,70.095
1948,68.046
1949,69.352
1950,70.201
1951,71.49
1952,72.158
1953,73.363
1954,72.425
1955,71.761
1956,72.875
1957,73.14
1958,72.865
1959,72.815
1960,73.515
1961,73.07
1962,72.546
1963,72.496
1964,72.294
1965,71.718
1966,72.323
1967,73.255
1968,74.301
1969,75.441
1970,76.551
1971,75.798
1972,75.281
1973,74.911
1974,76.233
1975,75.178
1976,75.194
1977,75.004
1978,74.667
1979,75.417
1980,76.415
1981,74.934
1982,74.996
1983,74.321
1984,72.695
1985,72.913
1986,74.347
1987,74.654
1988,74.197
1989,74.211
1990,75.02
1991,75.442
1992,75.712
1993,75.406
1994,74.341
1995,73.837
1996,72.881
1997,72.429
1998,72.846
1999,73.216
2000,73.849
2001,73.25
2002,72.566
2003,72.413
2004,72.181
2005,71.729
2006,71.133
2007,72.726
2008,73.463
2009,72.204
2010,70.029
2011,69.526
2012,68.972
2013,69.34
2014,69.354
2015,70.077
2016,70.646
2017,70.515
2018,70.333
2019,70.472
2020,70.333
2021,68.742
2022,69.191
2023,69.103
2024,69.313
2025,69.311
