year,Capital share of net income (TF convention),Top 1% share of pretax national income (WID)
1929,23.278,22.18
1930,22.254,19.06
1931,19.517,16.76
1932,17.527,16.51
1933,15.341,17.51
1934,17.043,19.06
1935,17.1,19.33
1936,17.75,20.94
1937,16.884,20.67
1938,16.589,18.64
1939,17.412,19.57
1940,18.137,20.48
1941,16.096,21.58
1942,14.031,20.59
1943,12.437,18.59
1944,12.138,15.35
1945,10.904,14.25
1946,10.134,14.28
1947,11.583,14.97
1948,13.421,16.31
1949,13.972,15.72
1950,13.15,16.39
1951,12.111,16
1952,12.399,14.97
1953,12.316,14.01
1954,13.288,13.95
1955,14.465,14.61
1956,13.735,13.84
1957,13.554,13.53
1958,13.332,12.68
1959,14.364,13.21
1960,14.148,12.43
1961,14.413,12.53
1962,15.396,12.84
1963,15.839,12.98
1964,16.338,13.11
1965,17.02,13.03
1966,16.741,12.97
1967,16.181,12.37
1968,15.363,12.61
1969,14.619,11.6
1970,13.894,10.7
1971,14.638,11.05
1972,14.93,11.08
1973,14.718,10.88
1974,14.132,10.37
1975,15.439,10.43
1976,15.412,10.36
1977,15.701,10.58
1978,15.922,10.35
1979,15.422,10.86
1980,15.504,10.42
1981,17.555,10.67
1982,18.223,10.99
1983,18.801,11.5
1984,19.818,12.15
1985,19.726,12.27
1986,18.157,11.98
1987,17.494,13.24
1988,17.612,15.21
1989,17.729,14.69
1990,17.054,14.71
1991,16.821,13.65
1992,16.036,14.68
1993,16.147,14.15
1994,17.194,14.02
1995,17.708,14.52
1996,18.155,15.25
1997,18.597,16
1998,17.965,16.32
1999,17.359,16.76
2000,16.646,17.34
2001,16.682,16.59
2002,17.156,16.1
2003,17.372,16.32
2004,17.491,17.06
2005,18.348,18.06
2006,18.889,18.52
2007,18.098,18.38
2008,17.794,17.93
2009,19.075,16.7
2010,20.186,17.89
2011,20.102,18.08
2012,20.572,19.49
2013,20.061,18.46
2014,20.385,18.97
2015,20.196,18.89
2016,19.8,18.66
2017,19.831,19.05
2018,20.077,19.24
2019,19.96,19.04
2020,19.973,18.17
2021,21.312,19.88
2022,21.203,20.73
2023,21.465,20.73
2024,21.369,20.73
