date,Labor,Capital,Proprietors
1947-03-01,70.311,9.952,19.736
1947-06-01,70.166,11.98,17.854
1947-09-01,69.97,12.161,17.869
1947-12-01,69.947,12.172,17.881
1948-03-01,68.828,13.325,17.847
1948-06-01,67.436,13.456,19.108
1948-09-01,68.105,13.052,18.843
1948-12-01,67.846,13.846,18.309
1949-03-01,69.191,14.05,16.759
1949-06-01,69.376,13.865,16.759
1949-09-01,69.031,14.504,16.465
1949-12-01,69.821,13.462,16.717
1950-03-01,69.7,13.105,17.195
1950-06-01,69.981,13.241,16.779
1950-09-01,70.343,12.982,16.675
1950-12-01,70.706,13.27,16.024
1951-03-01,72.495,10.898,16.607
1951-06-01,71.56,11.976,16.465
1951-09-01,70.868,12.819,16.314
1951-12-01,71.116,12.655,16.229
1952-03-01,72.168,12.488,15.344
1952-06-01,72.071,12.247,15.681
1952-09-01,71.926,12.103,15.972
1952-12-01,72.458,12.74,14.802
1953-03-01,72.673,12.683,14.644
1953-06-01,73.257,12.395,14.348
1953-09-01,73.584,12.409,14.007
1953-12-01,73.944,11.773,14.283
1954-03-01,72.761,12.671,14.568
1954-06-01,72.564,13.076,14.36
1954-09-01,72.256,13.431,14.313
1954-12-01,72.129,13.951,13.92
1955-03-01,71.356,14.606,14.038
1955-06-01,71.459,14.675,13.866
1955-09-01,71.968,14.303,13.729
1955-12-01,72.23,14.285,13.485
1956-03-01,72.733,13.834,13.433
1956-06-01,73.023,13.63,13.347
1956-09-01,72.709,13.821,13.47
1956-12-01,73.029,13.657,13.314
1957-03-01,73.003,13.836,13.161
1957-06-01,73.05,13.654,13.296
1957-09-01,73.042,13.495,13.462
1957-12-01,73.465,13.23,13.305
1958-03-01,73.194,12.647,14.159
1958-06-01,72.854,13.018,14.129
1958-09-01,72.903,13.426,13.671
1958-12-01,72.526,14.18,13.293
1959-03-01,72.916,14.035,13.05
1959-06-01,72.562,14.69,12.748
1959-09-01,72.933,14.27,12.796
1959-12-01,72.851,14.448,12.701
1960-03-01,73.301,14.499,12.2
1960-06-01,73.613,14.02,12.367
1960-09-01,73.523,14.122,12.355
1960-12-01,73.622,13.951,12.427
1961-03-01,73.56,13.747,12.693
1961-06-01,73.131,14.347,12.522
1961-09-01,72.992,14.551,12.457
1961-12-01,72.627,14.969,12.404
1962-03-01,72.492,15.189,12.318
1962-06-01,72.734,15.207,12.059
1962-09-01,72.644,15.43,11.926
1962-12-01,72.317,15.744,11.939
1963-03-01,72.468,15.696,11.836
1963-06-01,72.484,15.881,11.635
1963-09-01,72.519,15.92,11.561
1963-12-01,72.51,15.853,11.637
1964-03-01,72.122,16.442,11.436
1964-06-01,72.257,16.338,11.405
1964-09-01,72.361,16.352,11.288
1964-12-01,72.426,16.226,11.348
1965-03-01,71.691,17.007,11.303
1965-06-01,71.666,17.012,11.321
1965-09-01,71.754,17.006,11.24
1965-12-01,71.757,17.054,11.189
1966-03-01,71.475,17.101,11.425
1966-06-01,72.285,16.783,10.932
1966-09-01,72.78,16.493,10.728
1966-12-01,72.717,16.599,10.684
1967-03-01,72.971,16.331,10.698
1967-06-01,73.211,16.246,10.544
1967-09-01,73.291,16.057,10.652
1967-12-01,73.536,16.095,10.37
1968-03-01,74.211,15.376,10.413
1968-06-01,74.14,15.506,10.354
1968-09-01,74.318,15.325,10.357
1968-12-01,74.523,15.252,10.225
1969-03-01,74.719,15.239,10.042
1969-06-01,75.107,14.85,10.043
1969-09-01,75.556,14.517,9.927
1969-12-01,76.337,13.907,9.757
1970-03-01,76.815,13.558,9.627
1970-06-01,76.49,14.05,9.461
1970-09-01,76.388,14.068,9.544
1970-12-01,76.517,13.895,9.588
1971-03-01,76.069,14.501,9.43
1971-06-01,75.994,14.464,9.542
1971-09-01,75.721,14.719,9.559
1971-12-01,75.43,14.854,9.715
1972-03-01,75.721,14.882,9.397
1972-06-01,75.801,14.617,9.582
1972-09-01,75.121,15.125,9.754
1972-12-01,74.542,15.082,10.376
1973-03-01,75.016,15.038,9.947
1973-06-01,75.113,14.606,10.281
1973-09-01,74.95,14.655,10.395
1973-12-01,74.584,14.587,10.829
1974-03-01,75.464,14.361,10.175
1974-06-01,76.24,14.332,9.428
1974-09-01,76.788,13.744,9.468
1974-12-01,76.414,14.097,9.489
1975-03-01,75.73,14.974,9.296
1975-06-01,75.347,15.404,9.25
1975-09-01,74.848,15.702,9.45
1975-12-01,74.829,15.645,9.526
1976-03-01,74.894,15.777,9.329
1976-06-01,75.163,15.501,9.336
1976-09-01,75.214,15.357,9.429
1976-12-01,75.487,15.036,9.477
1977-03-01,75.53,15.068,9.402
1977-06-01,75.104,15.722,9.174
1977-09-01,74.756,16.241,9.003
1977-12-01,74.674,15.729,9.597
1978-03-01,75.039,15.453,9.509
1978-06-01,74.428,16.056,9.516
1978-09-01,74.54,16.074,9.386
1978-12-01,74.681,16.072,9.248
1979-03-01,74.899,15.621,9.48
1979-06-01,75.238,15.495,9.267
1979-09-01,75.687,15.174,9.139
1979-12-01,75.81,15.41,8.78
1980-03-01,76.648,15.191,8.161
1980-06-01,77.159,15.107,7.734
1980-09-01,76.589,15.257,8.154
1980-12-01,75.348,16.393,8.259
1981-03-01,75.41,16.432,8.158
1981-06-01,75.305,17.212,7.483
1981-09-01,74.274,18.267,7.459
1981-12-01,74.788,18.23,6.982
1982-03-01,75.208,18.13,6.662
1982-06-01,74.82,18.455,6.726
1982-09-01,75.009,18.27,6.721
1982-12-01,74.95,18.038,7.012
1983-03-01,74.553,18.431,7.016
1983-06-01,74.549,18.597,6.854
1983-09-01,74.356,18.911,6.733
1983-12-01,73.859,19.229,6.912
1984-03-01,73.01,19.433,7.557
1984-06-01,72.729,19.593,7.678
1984-09-01,72.505,19.98,7.515
1984-12-01,72.554,20.234,7.212
1985-03-01,72.477,20.016,7.506
1985-06-01,72.775,19.883,7.342
1985-09-01,72.863,19.849,7.288
1985-12-01,73.514,19.173,7.313
1986-03-01,73.612,19.135,7.253
1986-06-01,74.031,18.574,7.395
1986-09-01,74.522,17.771,7.707
1986-12-01,75.2,17.176,7.624
1987-03-01,75.106,17.086,7.808
1987-06-01,74.744,17.422,7.834
1987-09-01,74.384,17.762,7.855
1987-12-01,74.41,17.684,7.906
1988-03-01,74.155,17.566,8.28
1988-06-01,74.405,17.389,8.206
1988-09-01,74.225,17.456,8.319
1988-12-01,74.012,18.021,7.967
1989-03-01,73.897,17.752,8.351
1989-06-01,73.996,17.941,8.063
1989-09-01,74.122,17.96,7.918
1989-12-01,74.815,17.27,7.915
1990-03-01,74.711,17.405,7.884
1990-06-01,74.735,17.401,7.864
1990-09-01,75.203,16.799,7.998
1990-12-01,75.423,16.622,7.956
1991-03-01,75.143,17.154,7.702
1991-06-01,75.273,16.981,7.746
1991-09-01,75.477,16.838,7.686
1991-12-01,75.863,16.323,7.813
1992-03-01,75.785,16.239,7.975
1992-06-01,75.744,16.066,8.19
1992-09-01,75.816,15.807,8.377
1992-12-01,75.508,16.036,8.456
1993-03-01,75.666,15.878,8.456
1993-06-01,75.454,16.025,8.521
1993-09-01,75.495,16.174,8.331
1993-12-01,75.024,16.496,8.48
1994-03-01,74.526,16.908,8.566
1994-06-01,74.512,17.019,8.469
1994-09-01,74.296,17.296,8.409
1994-12-01,74.044,17.534,8.422
1995-03-01,74.296,17.314,8.39
1995-06-01,74.072,17.558,8.37
1995-09-01,73.568,17.993,8.438
1995-12-01,73.434,17.95,8.616
1996-03-01,73.058,18.088,8.853
1996-06-01,72.869,18.046,9.085
1996-09-01,72.961,18.074,8.966
1996-12-01,72.646,18.402,8.952
1997-03-01,72.51,18.41,9.079
1997-06-01,72.587,18.462,8.95
1997-09-01,72.243,18.793,8.964
1997-12-01,72.384,18.71,8.906
1998-03-01,72.968,17.924,9.108
1998-06-01,72.835,18.044,9.12
1998-09-01,72.688,18.149,9.164
1998-12-01,72.897,17.744,9.358
1999-03-01,72.853,17.757,9.39
1999-06-01,73.09,17.483,9.427
1999-09-01,73.303,17.255,9.442
1999-12-01,73.603,16.96,9.437
2000-03-01,74.128,16.593,9.279
2000-06-01,73.744,16.71,9.546
2000-09-01,73.718,16.801,9.481
2000-12-01,73.812,16.48,9.708
2001-03-01,73.436,16.745,9.819
2001-06-01,72.976,17.037,9.987
2001-09-01,72.851,16.939,10.211
2001-12-01,73.744,15.999,10.257
2002-03-01,72.803,16.883,10.314
2002-06-01,72.652,17.114,10.233
2002-09-01,72.636,17.079,10.285
2002-12-01,72.182,17.538,10.281
2003-03-01,72.329,17.485,10.187
2003-06-01,72.401,17.368,10.23
2003-09-01,72.337,17.435,10.228
2003-12-01,72.581,17.204,10.215
2004-03-01,72.102,17.48,10.418
2004-06-01,72.154,17.442,10.405
2004-09-01,72.308,17.459,10.233
2004-12-01,72.155,17.582,10.263
2005-03-01,72.219,17.818,9.963
2005-06-01,71.763,18.379,9.858
2005-09-01,71.809,18.246,9.945
2005-12-01,71.153,18.921,9.926
2006-03-01,71.206,18.683,10.111
2006-06-01,70.867,19.112,10.021
2006-09-01,70.837,19.256,9.907
2006-12-01,71.617,18.505,9.878
2007-03-01,72.755,17.777,9.468
2007-06-01,72.112,18.723,9.165
2007-09-01,72.732,18.174,9.093
2007-12-01,73.306,17.713,8.981
2008-03-01,73.487,17.724,8.789
2008-06-01,73.333,17.871,8.796
2008-09-01,73.005,18.352,8.643
2008-12-01,74.037,17.218,8.745
2009-03-01,72.614,18.812,8.574
2009-06-01,72.78,18.771,8.449
2009-09-01,72.134,19.168,8.698
2009-12-01,71.313,19.535,9.152
2010-03-01,70.371,20.061,9.568
2010-06-01,70.493,19.683,9.824
2010-09-01,69.652,20.507,9.842
2010-12-01,69.625,20.475,9.9
2011-03-01,70.355,19.483,10.162
2011-06-01,69.628,20.099,10.273
2011-09-01,69.532,19.972,10.495
2011-12-01,68.619,20.832,10.549
2012-03-01,68.488,21.012,10.5
2012-06-01,68.537,20.926,10.537
2012-09-01,69.346,20.222,10.432
2012-12-01,69.509,20.136,10.355
2013-03-01,69.294,20.086,10.62
2013-06-01,69.393,19.885,10.723
2013-09-01,69.326,20.001,10.673
2013-12-01,69.348,20.27,10.382
2014-03-01,70.244,19.366,10.39
2014-06-01,69.253,20.363,10.384
2014-09-01,68.747,21.027,10.226
2014-12-01,69.205,20.742,10.053
2015-03-01,69.833,20.275,9.892
2015-06-01,69.924,20.393,9.683
2015-09-01,70.147,20.136,9.717
2015-12-01,70.399,19.982,9.618
2016-03-01,70.322,20.153,9.525
2016-06-01,70.706,19.782,9.512
2016-09-01,70.791,19.62,9.589
2016-12-01,70.762,19.651,9.587
2017-03-01,70.122,20.221,9.656
2017-06-01,70.409,19.929,9.661
2017-09-01,70.797,19.592,9.611
2017-12-01,70.721,19.592,9.687
2018-03-01,70.49,19.895,9.615
2018-06-01,70.36,20.09,9.55
2018-09-01,70.283,20.179,9.538
2018-12-01,70.205,20.141,9.654
2019-03-01,70.508,19.954,9.537
2019-06-01,70.529,19.971,9.5
2019-09-01,70.319,20.046,9.635
2019-12-01,70.53,19.87,9.6
2020-03-01,71.706,18.662,9.631
2020-06-01,71.25,19.54,9.21
2020-09-01,68.415,21.476,10.109
2020-12-01,70.08,20.14,9.78
2021-03-01,69.126,21.163,9.711
2021-06-01,68.097,21.761,10.142
2021-09-01,68.58,21.332,10.088
2021-12-01,69.169,20.995,9.836
2022-03-01,69.56,20.763,9.677
2022-06-01,68.865,21.568,9.567
2022-09-01,69.046,21.384,9.569
2022-12-01,69.3,21.089,9.611
2023-03-01,68.945,21.47,9.586
2023-06-01,69.215,21.312,9.473
2023-09-01,69.351,21.262,9.387
2023-12-01,68.903,21.81,9.287
2024-03-01,69.189,21.516,9.295
2024-06-01,69.238,21.447,9.314
2024-09-01,69.509,21.162,9.329
2024-12-01,69.315,21.352,9.333
2025-03-01,69.273,21.347,9.38
2025-06-01,69.33,21.334,9.336
2025-09-01,69.344,21.397,9.259
2025-12-01,69.296,21.543,9.16
2026-03-01,69.023,21.813,9.164
2026-06-01,68.316,22.607,9.078
