date,All proprietors' income to labor,Proprietors' income 75% labor,Compensation only (TF headline)
1947-03-01,90.048,85.114,70.311
1947-06-01,88.02,83.556,70.166
1947-09-01,87.839,83.372,69.97
1947-12-01,87.828,83.358,69.947
1948-03-01,86.675,82.213,68.828
1948-06-01,86.544,81.767,67.436
1948-09-01,86.948,82.237,68.105
1948-12-01,86.154,81.577,67.846
1949-03-01,85.95,81.76,69.191
1949-06-01,86.135,81.945,69.376
1949-09-01,85.496,81.38,69.031
1949-12-01,86.538,82.359,69.821
1950-03-01,86.895,82.596,69.7
1950-06-01,86.759,82.565,69.981
1950-09-01,87.018,82.849,70.343
1950-12-01,86.73,82.724,70.706
1951-03-01,89.102,84.95,72.495
1951-06-01,88.024,83.908,71.56
1951-09-01,87.181,83.103,70.868
1951-12-01,87.345,83.288,71.116
1952-03-01,87.512,83.676,72.168
1952-06-01,87.753,83.833,72.071
1952-09-01,87.897,83.904,71.926
1952-12-01,87.26,83.559,72.458
1953-03-01,87.317,83.656,72.673
1953-06-01,87.605,84.018,73.257
1953-09-01,87.591,84.089,73.584
1953-12-01,88.227,84.656,73.944
1954-03-01,87.329,83.687,72.761
1954-06-01,86.924,83.334,72.564
1954-09-01,86.569,82.99,72.256
1954-12-01,86.049,82.569,72.129
1955-03-01,85.394,81.885,71.356
1955-06-01,85.325,81.858,71.459
1955-09-01,85.697,82.265,71.968
1955-12-01,85.715,82.344,72.23
1956-03-01,86.166,82.808,72.733
1956-06-01,86.37,83.033,73.023
1956-09-01,86.179,82.812,72.709
1956-12-01,86.343,83.014,73.029
1957-03-01,86.164,82.874,73.003
1957-06-01,86.346,83.022,73.05
1957-09-01,86.505,83.139,73.042
1957-12-01,86.77,83.443,73.465
1958-03-01,87.353,83.813,73.194
1958-06-01,86.982,83.45,72.854
1958-09-01,86.574,83.156,72.903
1958-12-01,85.82,82.496,72.526
1959-03-01,85.965,82.703,72.916
1959-06-01,85.31,82.123,72.562
1959-09-01,85.73,82.53,72.933
1959-12-01,85.552,82.377,72.851
1960-03-01,85.501,82.451,73.301
1960-06-01,85.98,82.889,73.613
1960-09-01,85.878,82.789,73.523
1960-12-01,86.049,82.943,73.622
1961-03-01,86.253,83.079,73.56
1961-06-01,85.653,82.522,73.131
1961-09-01,85.449,82.335,72.992
1961-12-01,85.031,81.93,72.627
1962-03-01,84.811,81.731,72.492
1962-06-01,84.793,81.779,72.734
1962-09-01,84.57,81.588,72.644
1962-12-01,84.256,81.271,72.317
1963-03-01,84.304,81.345,72.468
1963-06-01,84.119,81.21,72.484
1963-09-01,84.08,81.19,72.519
1963-12-01,84.147,81.237,72.51
1964-03-01,83.558,80.699,72.122
