date,Unambiguous labor share,Proprietors' income 50% labor
1960-03-01,73.301,79.401
1960-06-01,73.613,79.797
1960-09-01,73.523,79.701
1960-12-01,73.622,79.836
1961-03-01,73.56,79.906
1961-06-01,73.131,79.392
1961-09-01,72.992,79.221
1961-12-01,72.627,78.829
1962-03-01,72.492,78.652
1962-06-01,72.734,78.764
1962-09-01,72.644,78.607
1962-12-01,72.317,78.287
1963-03-01,72.468,78.386
1963-06-01,72.484,78.301
1963-09-01,72.519,78.3
1963-12-01,72.51,78.328
1964-03-01,72.122,77.84
1964-06-01,72.257,77.959
1964-09-01,72.361,78.004
1964-12-01,72.426,78.1
1965-03-01,71.691,77.342
1965-06-01,71.666,77.327
1965-09-01,71.754,77.374
1965-12-01,71.757,77.351
1966-03-01,71.475,77.187
1966-06-01,72.285,77.751
1966-09-01,72.78,78.143
1966-12-01,72.717,78.059
1967-03-01,72.971,78.32
1967-06-01,73.211,78.482
1967-09-01,73.291,78.617
1967-12-01,73.536,78.72
1968-03-01,74.211,79.417
1968-06-01,74.14,79.317
1968-09-01,74.318,79.497
1968-12-01,74.523,79.635
1969-03-01,74.719,79.74
1969-06-01,75.107,80.129
1969-09-01,75.556,80.52
1969-12-01,76.337,81.215
1970-03-01,76.815,81.628
1970-06-01,76.49,81.22
1970-09-01,76.388,81.16
1970-12-01,76.517,81.311
1971-03-01,76.069,80.784
1971-06-01,75.994,80.765
1971-09-01,75.721,80.501
1971-12-01,75.43,80.288
1972-03-01,75.721,80.419
1972-06-01,75.801,80.592
1972-09-01,75.121,79.998
1972-12-01,74.542,79.73
1973-03-01,75.016,79.989
1973-06-01,75.113,80.254
1973-09-01,74.95,80.147
1973-12-01,74.584,79.999
1974-03-01,75.464,80.551
1974-06-01,76.24,80.954
1974-09-01,76.788,81.522
1974-12-01,76.414,81.158
1975-03-01,75.73,80.378
1975-06-01,75.347,79.971
1975-09-01,74.848,79.573
1975-12-01,74.829,79.592
1976-03-01,74.894,79.558
1976-06-01,75.163,79.831
1976-09-01,75.214,79.928
1976-12-01,75.487,80.226
1977-03-01,75.53,80.231
1977-06-01,75.104,79.691
1977-09-01,74.756,79.257
1977-12-01,74.674,79.473
1978-03-01,75.039,79.793
1978-06-01,74.428,79.186
1978-09-01,74.54,79.233
1978-12-01,74.681,79.305
1979-03-01,74.899,79.639
1979-06-01,75.238,79.872
1979-09-01,75.687,80.256
1979-12-01,75.81,80.2
1980-03-01,76.648,80.728
1980-06-01,77.159,81.026
1980-09-01,76.589,80.666
1980-12-01,75.348,79.478
1981-03-01,75.41,79.489
1981-06-01,75.305,79.047
1981-09-01,74.274,78.003
1981-12-01,74.788,78.279
1982-03-01,75.208,78.539
1982-06-01,74.82,78.182
1982-09-01,75.009,78.369
1982-12-01,74.95,78.456
1983-03-01,74.553,78.061
1983-06-01,74.549,77.976
1983-09-01,74.356,77.723
1983-12-01,73.859,77.315
1984-03-01,73.01,76.789
1984-06-01,72.729,76.568
1984-09-01,72.505,76.262
1984-12-01,72.554,76.16
1985-03-01,72.477,76.231
1985-06-01,72.775,76.446
1985-09-01,72.863,76.507
1985-12-01,73.514,77.171
1986-03-01,73.612,77.239
1986-06-01,74.031,77.729
1986-09-01,74.522,78.376
1986-12-01,75.2,79.012
1987-03-01,75.106,79.01
1987-06-01,74.744,78.661
1987-09-01,74.384,78.311
1987-12-01,74.41,78.363
1988-03-01,74.155,78.294
1988-06-01,74.405,78.508
1988-09-01,74.225,78.385
1988-12-01,74.012,77.996
1989-03-01,73.897,78.073
1989-06-01,73.996,78.027
1989-09-01,74.122,78.081
1989-12-01,74.815,78.773
1990-03-01,74.711,78.653
1990-06-01,74.735,78.667
1990-09-01,75.203,79.202
1990-12-01,75.423,79.401
1991-03-01,75.143,78.994
1991-06-01,75.273,79.146
1991-09-01,75.477,79.32
1991-12-01,75.863,79.77
1992-03-01,75.785,79.773
1992-06-01,75.744,79.839
1992-09-01,75.816,80.004
1992-12-01,75.508,79.736
1993-03-01,75.666,79.894
1993-06-01,75.454,79.715
1993-09-01,75.495,79.66
1993-12-01,75.024,79.264
1994-03-01,74.526,78.809
1994-06-01,74.512,78.747
1994-09-01,74.296,78.5
1994-12-01,74.044,78.255
1995-03-01,74.296,78.491
1995-06-01,74.072,78.257
1995-09-01,73.568,77.788
1995-12-01,73.434,77.742
1996-03-01,73.058,77.485
1996-06-01,72.869,77.412
1996-09-01,72.961,77.444
1996-12-01,72.646,77.122
1997-03-01,72.51,77.05
1997-06-01,72.587,77.063
1997-09-01,72.243,76.725
1997-12-01,72.384,76.837
1998-03-01,72.968,77.522
1998-06-01,72.835,77.395
1998-09-01,72.688,77.27
1998-12-01,72.897,77.577
1999-03-01,72.853,77.548
1999-06-01,73.09,77.804
1999-09-01,73.303,78.024
1999-12-01,73.603,78.321
2000-03-01,74.128,78.767
2000-06-01,73.744,78.517
2000-09-01,73.718,78.458
2000-12-01,73.812,78.666
2001-03-01,73.436,78.346
2001-06-01,72.976,77.969
2001-09-01,72.851,77.956
2001-12-01,73.744,78.873
2002-03-01,72.803,77.96
2002-06-01,72.652,77.769
2002-09-01,72.636,77.778
2002-12-01,72.182,77.322
2003-03-01,72.329,77.422
2003-06-01,72.401,77.517
2003-09-01,72.337,77.451
2003-12-01,72.581,77.688
2004-03-01,72.102,77.311
2004-06-01,72.154,77.356
2004-09-01,72.308,77.424
2004-12-01,72.155,77.287
2005-03-01,72.219,77.201
2005-06-01,71.763,76.692
2005-09-01,71.809,76.782
2005-12-01,71.153,76.116
2006-03-01,71.206,76.261
2006-06-01,70.867,75.878
2006-09-01,70.837,75.79
2006-12-01,71.617,76.556
2007-03-01,72.755,77.489
2007-06-01,72.112,76.694
2007-09-01,72.732,77.279
2007-12-01,73.306,77.797
2008-03-01,73.487,77.881
2008-06-01,73.333,77.731
2008-09-01,73.005,77.327
2008-12-01,74.037,78.409
2009-03-01,72.614,76.901
2009-06-01,72.78,77.005
2009-09-01,72.134,76.483
2009-12-01,71.313,75.889
2010-03-01,70.371,75.155
2010-06-01,70.493,75.405
2010-09-01,69.652,74.572
2010-12-01,69.625,74.575
2011-03-01,70.355,75.436
2011-06-01,69.628,74.764
2011-09-01,69.532,74.78
2011-12-01,68.619,73.894
2012-03-01,68.488,73.738
2012-06-01,68.537,73.806
2012-09-01,69.346,74.562
2012-12-01,69.509,74.687
2013-03-01,69.294,74.604
2013-06-01,69.393,74.754
2013-09-01,69.326,74.662
2013-12-01,69.348,74.539
2014-03-01,70.244,75.439
2014-06-01,69.253,74.445
2014-09-01,68.747,73.86
